MON,GFAGFBGFC,MON
MON,STASTBSTC,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSA,MON
MON,APTOSS,DSS,MON
MON,APTOSS,KVB,MON
MON,APTOSS,NLNVAL,MON
MON,ASL,DAB,MON
MON,ASL,DSA,MON
MON,ASL,DSS,MON
MON,ASL,OSE,MON
MON,ASL,OSOVFB,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,MID,MON
MON,DSA,DSS,MON
MON,DSA,MID,MON
MON,DSA,NLNVAL,MON
MON,DSA,OSC,MON
MON,DSA,OSE,MON
MON,DSA,OSOVFB,MON
MON,DSA,TENTRB,MON
MON,DSA,TEQTRC,MON
MON,DSS,MID,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSC,MON
MON,DSS,OSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTRB,MON
MON,DSS,TEQTRC,MON
MON,NLNVAL,OSE,MON
MON,TENTRB,TEQTRC,MON
MON,DSS,KVB,TENTRB,MON
MON,DSS,KVB,TEQTRC,MON
MON,DSS,KVB,TRO,MON
MON,DSS,MID,OSC,MON
MON,DSS,MID,TENTRB,MON
MON,DSS,MID,TEQTRC,MON
MON,DSS,MID,TRO,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,OSC,TENTRB,MON
MON,DSS,OSC,TRO,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,TENTRB,TRO,MON
MON,DSS,TEQTRC,TRO,MON
MON,KVB,MID,NLNVAL,MON
MON,KVB,MID,OSC,MON
MON,KVB,MID,OSE,MON
MON,KVB,MID,OSOVFB,MON
MON,KVB,MID,TENTRB,MON
MON,KVB,MID,TEQTRC,MON
MON,KVB,OSC,OSE,MON
MON,KVB,OSC,OSOVFB,MON
MON,KVB,OSOVFB,TEQTRC,MON
MON,MID,NLNVAL,OSC,MON
MON,MID,NLNVAL,TENTRB,MON
MON,MID,NLNVAL,TEQTRC,MON
MON,MID,NLNVAL,TRO,MON
MON,MID,OSC,OSE,MON
MON,MID,OSC,OSOVFB,MON
MON,MID,OSC,TEQTRC,MON
MON,MID,OSE,TRO,MON
MON,MID,OSOVFB,TENTRB,MON
MON,MID,OSOVFB,TEQTRC,MON
MON,MID,OSOVFB,TRO,MON
MON,MID,TENTRB,TEQTRC,MON
MON,MID,TEQTRC,TRO,MON
MON,NLNVAL,OSC,TENTRB,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,TEQTRC,TRO,MON
MON,APTOSS,KVB,MID,TRO,MON
MON,ASL,KVB,MID,TRO,MON
MON,ASL,KVB,OSC,TRO,MON
MON,ASL,MID,OSC,TRO,MON
MON,DSA,KVB,MID,TRO,MON
MON,DSS,KVB,MID,TRO,MON
MON,KVB,MID,NLNVAL,TRO,MON
MON,KVB,MID,OSC,TENTRB,MON
MON,KVB,MID,OSC,TRO,MON
MON,KVB,MID,OSOVFB,TRO,MON
MON,KVB,MID,TENTRB,TRO,MON
MON,KVB,MID,TEQTRC,TRO,MON
MON,KVB,OSC,TENTRB,TRO,MON
MON,KVB,OSC,TEQTRC,TRO,MON
MON,MID,OSC,TENTRB,TRO,MON
MON,MID,OSC,TEQTRC,TRO,MON
