MON,DSASTASTBSTC,MON
MON,GFAGFBGFC,MON
MON,APTOSS,ASL,MON
MON,APTOSS,DAB,MON
MON,APTOSS,DSS,MON
MON,APTOSS,NLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,TENTEQTRBTRC,MON
MON,ASL,DAB,MON
MON,ASL,OSCOSE,MON
MON,ASL,TENTEQTRBTRC,MON
MON,DAB,DSS,MON
MON,DAB,OSCOSE,MON
MON,DAB,TENTEQTRBTRC,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSCOSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TENTEQTRBTRC,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,OSCOSE,MON
MON,KVB,TENTEQTRBTRC,MON
MON,MID,OSCOSE,MON
MON,MID,TENTEQTRBTRC,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,TENTEQTRBTRC,MON
MON,OSOVFB,TENTEQTRBTRC,MON
MON,MID,OSCOSE,OSOVFB,MON
MON,MID,OSCOSE,TRO,MON
MON,MID,TENTEQTRBTRC,TRO,MON
MON,NLNVAL,OSCOSE,TRO,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,TENTEQTRBTRC,TRO,MON
MON,OSCOSE,OSOVFB,TRO,MON
MON,OSOVFB,TENTEQTRBTRC,TRO,MON
MON,APTOSS,ASL,KVB,MID,MON
MON,APTOSS,ASL,KVB,TRO,MON
MON,APTOSS,ASL,MID,TRO,MON
MON,APTOSS,DSS,KVB,TRO,MON
MON,APTOSS,KVB,MID,NLNVAL,MON
MON,APTOSS,KVB,MID,OSOVFB,MON
MON,APTOSS,KVB,MID,TRO,MON
MON,APTOSS,KVB,NLNVAL,TRO,MON
MON,APTOSS,KVB,OSOVFB,TRO,MON
MON,APTOSS,MID,NLNVAL,TRO,MON
MON,APTOSS,MID,OSOVFB,TRO,MON
MON,ASL,DAB,KVB,TRO,MON
MON,ASL,DAB,MID,TRO,MON
MON,ASL,DSS,KVB,MID,MON
MON,ASL,DSS,KVB,TRO,MON
MON,ASL,DSS,MID,TRO,MON
MON,ASL,KVB,MID,NLNVAL,MON
MON,ASL,KVB,MID,OSOVFB,MON
MON,ASL,KVB,MID,TRO,MON
MON,ASL,KVB,NLNVAL,TRO,MON
MON,ASL,KVB,OSOVFB,TRO,MON
MON,ASL,MID,NLNVAL,TRO,MON
MON,ASL,MID,OSOVFB,TRO,MON
MON,DAB,KVB,MID,TRO,MON
MON,DSS,KVB,MID,NLNVAL,MON
MON,DSS,KVB,MID,OSOVFB,MON
MON,DSS,KVB,MID,TRO,MON
MON,DSS,KVB,NLNVAL,TRO,MON
MON,DSS,KVB,OSOVFB,TRO,MON
MON,DSS,MID,NLNVAL,TRO,MON
MON,DSS,MID,OSOVFB,TRO,MON
MON,KVB,MID,NLNVAL,OSOVFB,MON
MON,KVB,MID,NLNVAL,TRO,MON
MON,KVB,MID,OSCOSE,TRO,MON
MON,KVB,MID,OSOVFB,TRO,MON
MON,KVB,MID,TENTEQTRBTRC,TRO,MON
MON,KVB,NLNVAL,OSOVFB,TRO,MON
MON,MID,NLNVAL,OSOVFB,TRO,MON
