MON,DSASTASTBSTC,MON
MON,GFAGFBGFC,MON
MON,APTOSS,DAB,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,TENTEQTRBTRC,MON
MON,ASL,DAB,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,OSCOSE,MON
MON,ASL,TENTEQTRBTRC,MON
MON,DAB,DSS,MON
MON,DAB,OSCOSE,MON
MON,DAB,TENTEQTRBTRC,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,OSCOSE,MON
MON,DSS,TENTEQTRBTRC,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,NLNVAL,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,TENTEQTRBTRC,MON
MON,MID,TENTEQTRBTRC,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,TENTEQTRBTRC,MON
MON,OSCOSE,TENTEQTRBTRC,MON
MON,OSOVFB,TENTEQTRBTRC,MON
MON,GFAGFBGFC,KVB,TRO,MON
MON,GFAGFBGFC,MID,TRO,MON
MON,KVB,MID,OSCOSE,MON
MON,KVB,MID,TENTEQTRBTRC,MON
MON,KVB,NLNVAL,OSCOSE,MON
MON,KVB,NLNVAL,OSOVFB,MON
MON,KVB,NLNVAL,TENTEQTRBTRC,MON
MON,KVB,OSCOSE,OSOVFB,MON
MON,KVB,OSCOSE,TRO,MON
MON,KVB,OSOVFB,TENTEQTRBTRC,MON
MON,KVB,TENTEQTRBTRC,TRO,MON
MON,MID,NLNVAL,OSCOSE,MON
MON,MID,NLNVAL,OSOVFB,MON
MON,MID,NLNVAL,TENTEQTRBTRC,MON
MON,MID,OSCOSE,OSOVFB,MON
MON,MID,OSCOSE,TRO,MON
MON,MID,OSOVFB,TENTEQTRBTRC,MON
MON,MID,TENTEQTRBTRC,TRO,MON
MON,NLNVAL,OSCOSE,TRO,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,TENTEQTRBTRC,TRO,MON
MON,OSCOSE,OSOVFB,TRO,MON
MON,OSOVFB,TENTEQTRBTRC,TRO,MON
MON,APTOSS,ASL,DSS,KVB,MON
MON,APTOSS,ASL,DSS,TRO,MON
MON,APTOSS,ASL,KVB,MID,MON
MON,APTOSS,ASL,KVB,NLNVAL,MON
MON,APTOSS,ASL,KVB,OSOVFB,MON
MON,APTOSS,ASL,KVB,TRO,MON
MON,APTOSS,ASL,MID,NLNVAL,MON
MON,APTOSS,ASL,MID,OSOVFB,MON
MON,APTOSS,ASL,MID,TRO,MON
MON,APTOSS,ASL,NLNVAL,TRO,MON
MON,APTOSS,ASL,OSOVFB,TRO,MON
MON,APTOSS,DAB,KVB,TRO,MON
MON,APTOSS,DSS,KVB,TRO,MON
MON,APTOSS,DSS,NLNVAL,TRO,MON
MON,APTOSS,KVB,MID,NLNVAL,MON
MON,APTOSS,KVB,MID,OSOVFB,MON
MON,APTOSS,KVB,MID,TRO,MON
MON,APTOSS,KVB,NLNVAL,TRO,MON
MON,APTOSS,KVB,OSCOSE,TRO,MON
MON,APTOSS,KVB,OSOVFB,TRO,MON
MON,APTOSS,MID,NLNVAL,TRO,MON
MON,APTOSS,MID,OSCOSE,TRO,MON
MON,APTOSS,MID,OSOVFB,TRO,MON
MON,APTOSS,NLNVAL,OSOVFB,TRO,MON
MON,ASL,DAB,KVB,MID,MON
MON,ASL,DAB,KVB,TRO,MON
MON,ASL,DAB,MID,TRO,MON
MON,ASL,DSS,KVB,MID,MON
MON,ASL,DSS,KVB,NLNVAL,MON
MON,ASL,DSS,KVB,OSOVFB,MON
MON,ASL,DSS,KVB,TRO,MON
MON,ASL,DSS,MID,OSOVFB,MON
MON,ASL,DSS,MID,TRO,MON
MON,ASL,DSS,NLNVAL,TRO,MON
MON,ASL,DSS,OSOVFB,TRO,MON
MON,ASL,KVB,MID,NLNVAL,MON
MON,ASL,KVB,MID,OSCOSE,MON
MON,ASL,KVB,MID,OSOVFB,MON
MON,ASL,KVB,MID,TRO,MON
MON,ASL,KVB,NLNVAL,OSOVFB,MON
MON,ASL,KVB,NLNVAL,TRO,MON
MON,ASL,KVB,OSCOSE,TRO,MON
MON,ASL,KVB,OSOVFB,TRO,MON
MON,ASL,MID,NLNVAL,OSOVFB,MON
MON,ASL,MID,NLNVAL,TRO,MON
MON,ASL,MID,OSCOSE,TRO,MON
MON,ASL,MID,OSOVFB,TRO,MON
MON,ASL,NLNVAL,OSOVFB,TRO,MON
MON,DAB,DSS,KVB,MID,MON
MON,DAB,DSS,KVB,TRO,MON
MON,DAB,DSS,MID,TRO,MON
MON,DAB,KVB,MID,NLNVAL,MON
MON,DAB,KVB,MID,OSOVFB,MON
MON,DAB,KVB,MID,TRO,MON
MON,DAB,KVB,NLNVAL,TRO,MON
MON,DAB,KVB,OSOVFB,TRO,MON
MON,DAB,MID,NLNVAL,TRO,MON
MON,DAB,MID,OSOVFB,TRO,MON
MON,DSS,KVB,MID,NLNVAL,MON
MON,DSS,KVB,MID,OSOVFB,MON
MON,DSS,KVB,MID,TRO,MON
MON,DSS,KVB,NLNVAL,TRO,MON
MON,DSS,KVB,OSCOSE,TRO,MON
MON,DSS,KVB,OSOVFB,TRO,MON
MON,DSS,MID,NLNVAL,TRO,MON
MON,DSS,MID,OSCOSE,TRO,MON
MON,DSS,MID,OSOVFB,TRO,MON
MON,DSS,NLNVAL,OSOVFB,TRO,MON
MON,KVB,MID,NLNVAL,OSCOSE,MON
MON,KVB,MID,NLNVAL,OSOVFB,MON
MON,KVB,MID,NLNVAL,TRO,MON
MON,KVB,MID,OSCOSE,OSOVFB,MON
MON,KVB,MID,OSCOSE,TRO,MON
MON,KVB,MID,OSOVFB,TRO,MON
MON,KVB,MID,TENTEQTRBTRC,TRO,MON
MON,KVB,NLNVAL,OSCOSE,TRO,MON
MON,KVB,NLNVAL,OSOVFB,TRO,MON
MON,KVB,OSCOSE,OSOVFB,TRO,MON
MON,MID,NLNVAL,OSCOSE,TRO,MON
MON,MID,NLNVAL,OSOVFB,TRO,MON
MON,MID,OSCOSE,OSOVFB,TRO,MON
MON,APTOSS,ASL,KVB,MID,TRO,MON
MON,APTOSS,KVB,MID,OSOVFB,TRO,MON
MON,ASL,DSS,KVB,MID,TRO,MON
MON,ASL,KVB,MID,NLNVAL,TRO,MON
MON,ASL,KVB,MID,OSOVFB,TRO,MON
MON,DSS,KVB,MID,NLNVAL,TRO,MON
MON,DSS,KVB,MID,OSOVFB,TRO,MON
MON,KVB,MID,NLNVAL,OSOVFB,TRO,MON
