MON,GFAGFBGFC,MON
MON,STASTBSTC,MON
MON,APTOSS,DAB,MON
MON,APTOSS,GFAGFBGFC,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,STASTBSTC,MON
MON,ASL,DAB,MON
MON,ASL,GFAGFBGFC,MON
MON,ASL,OSCOSE,MON
MON,ASL,STASTBSTC,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,OSCOSE,MON
MON,DSA,GFAGFBGFC,MON
MON,DSA,OSCOSE,MON
MON,DSA,STASTBSTC,MON
MON,DSS,GFAGFBGFC,MON
MON,DSS,OSCOSE,MON
MON,DSS,STASTBSTC,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,NLNVAL,MON
MON,GFAGFBGFC,OSOVFB,MON
MON,GFAGFBGFC,TENTRB,MON
MON,GFAGFBGFC,TEQTRC,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,STASTBSTC,MON
MON,MID,STASTBSTC,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,STASTBSTC,MON
MON,OSOVFB,STASTBSTC,MON
MON,STASTBSTC,TENTRB,MON
MON,STASTBSTC,TEQTRC,MON
MON,STASTBSTC,TRO,MON
MON,ASL,DSA,DSS,MON
MON,ASL,DSA,KVB,MON
MON,ASL,DSA,MID,MON
MON,ASL,DSA,NLNVAL,MON
MON,ASL,DSA,OSCOSE,MON
MON,ASL,DSA,OSOVFB,MON
MON,ASL,DSA,TENTRB,MON
MON,ASL,DSA,TEQTRC,MON
MON,ASL,DSA,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,NLNVAL,MON
MON,ASL,DSS,OSCOSE,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,TENTRB,MON
MON,ASL,DSS,TEQTRC,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSCOSE,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,TENTRB,MON
MON,ASL,KVB,TEQTRC,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSCOSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTRB,MON
MON,ASL,MID,TEQTRC,MON
MON,ASL,NLNVAL,OSCOSE,MON
MON,ASL,NLNVAL,OSOVFB,MON
MON,ASL,NLNVAL,TENTRB,MON
MON,ASL,NLNVAL,TEQTRC,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSCOSE,OSOVFB,MON
MON,ASL,OSCOSE,TENTRB,MON
MON,ASL,OSCOSE,TEQTRC,MON
MON,ASL,OSCOSE,TRO,MON
MON,ASL,OSOVFB,TENTRB,MON
MON,ASL,OSOVFB,TEQTRC,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTRB,TEQTRC,MON
MON,ASL,TEQTRC,TRO,MON
MON,DAB,DSA,DSS,MON
MON,DAB,DSA,KVB,MON
MON,DAB,DSA,MID,MON
MON,DAB,DSA,NLNVAL,MON
MON,DAB,DSA,OSOVFB,MON
MON,DAB,DSA,TENTRB,MON
MON,DAB,DSA,TEQTRC,MON
MON,DAB,DSA,TRO,MON
MON,DAB,DSS,KVB,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,NLNVAL,MON
MON,DAB,DSS,OSOVFB,MON
MON,DAB,DSS,TENTRB,MON
MON,DAB,DSS,TEQTRC,MON
MON,DAB,DSS,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,KVB,NLNVAL,MON
MON,DAB,KVB,OSCOSE,MON
MON,DAB,KVB,OSOVFB,MON
MON,DAB,KVB,TENTRB,MON
MON,DAB,KVB,TEQTRC,MON
MON,DAB,MID,NLNVAL,MON
MON,DAB,MID,OSCOSE,MON
MON,DAB,MID,OSOVFB,MON
MON,DAB,MID,TENTRB,MON
MON,DAB,MID,TEQTRC,MON
MON,DAB,MID,TRO,MON
MON,DAB,NLNVAL,OSOVFB,MON
MON,DAB,NLNVAL,TENTRB,MON
MON,DAB,NLNVAL,TEQTRC,MON
MON,DAB,NLNVAL,TRO,MON
MON,DAB,OSCOSE,TRO,MON
MON,DAB,OSOVFB,TENTRB,MON
MON,DAB,OSOVFB,TEQTRC,MON
MON,DAB,OSOVFB,TRO,MON
MON,DAB,TENTRB,TEQTRC,MON
MON,DSA,DSS,KVB,MON
MON,DSA,DSS,MID,MON
MON,DSA,DSS,NLNVAL,MON
MON,DSA,DSS,OSOVFB,MON
MON,DSA,DSS,TENTRB,MON
MON,DSA,DSS,TEQTRC,MON
MON,DSA,DSS,TRO,MON
MON,DSA,KVB,NLNVAL,MON
MON,DSA,KVB,OSCOSE,MON
MON,DSA,KVB,OSOVFB,MON
MON,DSA,KVB,TENTRB,MON
MON,DSA,KVB,TEQTRC,MON
MON,DSA,MID,NLNVAL,MON
MON,DSA,MID,OSCOSE,MON
MON,DSA,MID,OSOVFB,MON
MON,DSA,MID,TENTRB,MON
MON,DSA,MID,TEQTRC,MON
MON,DSA,NLNVAL,OSOVFB,MON
MON,DSA,NLNVAL,TENTRB,MON
MON,DSA,NLNVAL,TEQTRC,MON
MON,DSA,NLNVAL,TRO,MON
MON,DSA,OSCOSE,TENTRB,MON
MON,DSA,OSCOSE,TEQTRC,MON
MON,DSA,OSCOSE,TRO,MON
MON,DSA,OSOVFB,TENTRB,MON
MON,DSA,OSOVFB,TEQTRC,MON
MON,DSA,OSOVFB,TRO,MON
MON,DSA,TENTRB,TEQTRC,MON
MON,DSA,TENTRB,TRO,MON
MON,DSA,TEQTRC,TRO,MON
MON,DSS,KVB,NLNVAL,MON
MON,DSS,KVB,OSCOSE,MON
MON,DSS,KVB,OSOVFB,MON
MON,DSS,KVB,TENTRB,MON
MON,DSS,KVB,TEQTRC,MON
MON,DSS,MID,NLNVAL,MON
MON,DSS,MID,OSCOSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,MID,TENTRB,MON
MON,DSS,MID,TEQTRC,MON
MON,DSS,NLNVAL,OSOVFB,MON
MON,DSS,NLNVAL,TENTRB,MON
MON,DSS,NLNVAL,TEQTRC,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,OSCOSE,TENTRB,MON
MON,DSS,OSCOSE,TEQTRC,MON
MON,DSS,OSCOSE,TRO,MON
MON,DSS,OSOVFB,TENTRB,MON
MON,DSS,OSOVFB,TEQTRC,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,TENTRB,TEQTRC,MON
MON,DSS,TENTRB,TRO,MON
MON,DSS,TEQTRC,TRO,MON
MON,GFAGFBGFC,KVB,MID,MON
MON,GFAGFBGFC,KVB,TRO,MON
MON,GFAGFBGFC,MID,TRO,MON
MON,KVB,MID,OSCOSE,MON
MON,KVB,MID,STASTBSTC,MON
MON,KVB,NLNVAL,OSCOSE,MON
MON,KVB,NLNVAL,OSOVFB,MON
MON,KVB,OSCOSE,OSOVFB,MON
MON,KVB,OSCOSE,TENTRB,MON
MON,KVB,OSCOSE,TEQTRC,MON
MON,KVB,OSCOSE,TRO,MON
MON,KVB,OSOVFB,TEQTRC,MON
MON,KVB,STASTBSTC,TRO,MON
MON,MID,NLNVAL,OSCOSE,MON
MON,MID,NLNVAL,OSOVFB,MON
MON,MID,NLNVAL,TENTRB,MON
MON,MID,NLNVAL,TEQTRC,MON
MON,MID,OSCOSE,OSOVFB,MON
MON,MID,OSCOSE,TENTRB,MON
MON,MID,OSCOSE,TEQTRC,MON
MON,MID,OSCOSE,TRO,MON
MON,MID,OSOVFB,TENTRB,MON
MON,MID,OSOVFB,TEQTRC,MON
MON,MID,STASTBSTC,TRO,MON
MON,MID,TENTRB,TEQTRC,MON
MON,NLNVAL,OSCOSE,TENTRB,MON
MON,NLNVAL,OSCOSE,TEQTRC,MON
MON,NLNVAL,OSCOSE,TRO,MON
MON,NLNVAL,OSOVFB,TENTRB,MON
MON,NLNVAL,OSOVFB,TEQTRC,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,TENTRB,TEQTRC,MON
MON,NLNVAL,TEQTRC,TRO,MON
MON,OSCOSE,OSOVFB,TENTRB,MON
MON,OSCOSE,OSOVFB,TEQTRC,MON
MON,OSCOSE,OSOVFB,TRO,MON
MON,OSCOSE,TENTRB,TEQTRC,MON
MON,OSCOSE,TEQTRC,TRO,MON
MON,APTOSS,ASL,DSA,KVB,MON
MON,APTOSS,ASL,DSA,TRO,MON
MON,APTOSS,ASL,DSS,KVB,MON
MON,APTOSS,ASL,DSS,TRO,MON
MON,APTOSS,ASL,KVB,MID,MON
MON,APTOSS,ASL,KVB,NLNVAL,MON
MON,APTOSS,ASL,KVB,OSOVFB,MON
MON,APTOSS,ASL,KVB,TENTRB,MON
MON,APTOSS,ASL,KVB,TEQTRC,MON
MON,APTOSS,ASL,KVB,TRO,MON
MON,APTOSS,ASL,MID,NLNVAL,MON
MON,APTOSS,ASL,MID,OSOVFB,MON
MON,APTOSS,ASL,MID,TENTRB,MON
MON,APTOSS,ASL,MID,TEQTRC,MON
MON,APTOSS,ASL,MID,TRO,MON
MON,APTOSS,ASL,NLNVAL,TRO,MON
MON,APTOSS,ASL,OSOVFB,TRO,MON
MON,APTOSS,ASL,TENTRB,TRO,MON
MON,APTOSS,ASL,TEQTRC,TRO,MON
MON,APTOSS,DAB,KVB,TRO,MON
MON,APTOSS,DSA,DSS,TRO,MON
MON,APTOSS,DSA,KVB,TENTRB,MON
MON,APTOSS,DSA,KVB,TEQTRC,MON
MON,APTOSS,DSA,KVB,TRO,MON
MON,APTOSS,DSA,MID,TRO,MON
MON,APTOSS,DSA,NLNVAL,TRO,MON
MON,APTOSS,DSA,OSOVFB,TRO,MON
MON,APTOSS,DSA,TENTRB,TRO,MON
MON,APTOSS,DSA,TEQTRC,TRO,MON
MON,APTOSS,DSS,KVB,TENTRB,MON
MON,APTOSS,DSS,KVB,TEQTRC,MON
MON,APTOSS,DSS,KVB,TRO,MON
MON,APTOSS,DSS,NLNVAL,TRO,MON
MON,APTOSS,DSS,TENTRB,TRO,MON
MON,APTOSS,DSS,TEQTRC,TRO,MON
MON,APTOSS,KVB,MID,NLNVAL,MON
MON,APTOSS,KVB,MID,OSOVFB,MON
MON,APTOSS,KVB,MID,TENTRB,MON
MON,APTOSS,KVB,MID,TEQTRC,MON
MON,APTOSS,KVB,MID,TRO,MON
MON,APTOSS,KVB,NLNVAL,TENTRB,MON
MON,APTOSS,KVB,NLNVAL,TEQTRC,MON
MON,APTOSS,KVB,NLNVAL,TRO,MON
MON,APTOSS,KVB,OSCOSE,TRO,MON
MON,APTOSS,KVB,OSOVFB,TENTRB,MON
MON,APTOSS,KVB,OSOVFB,TEQTRC,MON
MON,APTOSS,KVB,OSOVFB,TRO,MON
MON,APTOSS,KVB,TENTRB,TEQTRC,MON
MON,APTOSS,KVB,TENTRB,TRO,MON
MON,APTOSS,KVB,TEQTRC,TRO,MON
MON,APTOSS,MID,NLNVAL,TENTRB,MON
MON,APTOSS,MID,NLNVAL,TEQTRC,MON
MON,APTOSS,MID,NLNVAL,TRO,MON
MON,APTOSS,MID,OSCOSE,TRO,MON
MON,APTOSS,MID,OSOVFB,TENTRB,MON
MON,APTOSS,MID,OSOVFB,TEQTRC,MON
MON,APTOSS,MID,OSOVFB,TRO,MON
MON,APTOSS,MID,TENTRB,TEQTRC,MON
MON,APTOSS,MID,TENTRB,TRO,MON
MON,APTOSS,MID,TEQTRC,TRO,MON
MON,APTOSS,NLNVAL,OSOVFB,TRO,MON
MON,APTOSS,NLNVAL,TENTRB,TRO,MON
MON,APTOSS,NLNVAL,TEQTRC,TRO,MON
MON,APTOSS,OSOVFB,TENTRB,TRO,MON
MON,APTOSS,OSOVFB,TEQTRC,TRO,MON
MON,APTOSS,TENTRB,TEQTRC,TRO,MON
MON,ASL,DAB,KVB,MID,MON
MON,ASL,DAB,KVB,TRO,MON
MON,ASL,DAB,MID,TRO,MON
MON,ASL,DAB,TENTRB,TRO,MON
MON,ASL,DSA,DSS,KVB,MON
MON,ASL,DSA,DSS,MID,MON
MON,ASL,DSA,DSS,TRO,MON
MON,ASL,DSA,KVB,MID,MON
MON,ASL,DSA,KVB,NLNVAL,MON
MON,ASL,DSA,KVB,OSOVFB,MON
MON,ASL,DSA,KVB,TENTRB,MON
MON,ASL,DSA,KVB,TEQTRC,MON
MON,ASL,DSA,KVB,TRO,MON
MON,ASL,DSA,MID,NLNVAL,MON
MON,ASL,DSA,MID,OSOVFB,MON
MON,ASL,DSA,MID,TENTRB,MON
MON,ASL,DSA,MID,TEQTRC,MON
MON,ASL,DSA,MID,TRO,MON
MON,ASL,DSA,NLNVAL,TRO,MON
MON,ASL,DSA,OSOVFB,TRO,MON
MON,ASL,DSA,TENTRB,TRO,MON
MON,ASL,DSA,TEQTRC,TRO,MON
MON,ASL,DSS,KVB,MID,MON
MON,ASL,DSS,KVB,NLNVAL,MON
MON,ASL,DSS,KVB,OSOVFB,MON
MON,ASL,DSS,KVB,TENTRB,MON
MON,ASL,DSS,KVB,TEQTRC,MON
MON,ASL,DSS,KVB,TRO,MON
MON,ASL,DSS,MID,OSOVFB,MON
MON,ASL,DSS,MID,TENTRB,MON
MON,ASL,DSS,MID,TEQTRC,MON
MON,ASL,DSS,MID,TRO,MON
MON,ASL,DSS,NLNVAL,TRO,MON
MON,ASL,DSS,OSOVFB,TRO,MON
MON,ASL,DSS,TENTRB,TRO,MON
MON,ASL,DSS,TEQTRC,TRO,MON
MON,ASL,KVB,MID,NLNVAL,MON
MON,ASL,KVB,MID,OSCOSE,MON
MON,ASL,KVB,MID,OSOVFB,MON
MON,ASL,KVB,MID,TENTRB,MON
MON,ASL,KVB,MID,TEQTRC,MON
MON,ASL,KVB,MID,TRO,MON
MON,ASL,KVB,NLNVAL,OSOVFB,MON
MON,ASL,KVB,NLNVAL,TENTRB,MON
MON,ASL,KVB,NLNVAL,TEQTRC,MON
MON,ASL,KVB,NLNVAL,TRO,MON
MON,ASL,KVB,OSCOSE,TRO,MON
MON,ASL,KVB,OSOVFB,TENTRB,MON
MON,ASL,KVB,OSOVFB,TEQTRC,MON
MON,ASL,KVB,OSOVFB,TRO,MON
MON,ASL,KVB,TENTRB,TEQTRC,MON
MON,ASL,KVB,TENTRB,TRO,MON
MON,ASL,KVB,TEQTRC,TRO,MON
MON,ASL,MID,NLNVAL,OSOVFB,MON
MON,ASL,MID,NLNVAL,TENTRB,MON
MON,ASL,MID,NLNVAL,TEQTRC,MON
MON,ASL,MID,NLNVAL,TRO,MON
MON,ASL,MID,OSCOSE,TRO,MON
MON,ASL,MID,OSOVFB,TENTRB,MON
MON,ASL,MID,OSOVFB,TEQTRC,MON
MON,ASL,MID,OSOVFB,TRO,MON
MON,ASL,MID,TENTRB,TEQTRC,MON
MON,ASL,MID,TENTRB,TRO,MON
MON,ASL,MID,TEQTRC,TRO,MON
MON,ASL,NLNVAL,OSOVFB,TRO,MON
MON,ASL,NLNVAL,TENTRB,TRO,MON
MON,ASL,NLNVAL,TEQTRC,TRO,MON
MON,ASL,OSOVFB,TENTRB,TRO,MON
MON,ASL,OSOVFB,TEQTRC,TRO,MON
MON,ASL,TENTRB,TEQTRC,TRO,MON
MON,DAB,DSA,KVB,MID,MON
MON,DAB,DSA,KVB,TRO,MON
MON,DAB,DSA,MID,TRO,MON
MON,DAB,DSS,KVB,MID,MON
MON,DAB,DSS,KVB,TRO,MON
MON,DAB,DSS,MID,TRO,MON
MON,DAB,KVB,MID,NLNVAL,MON
MON,DAB,KVB,MID,OSOVFB,MON
MON,DAB,KVB,MID,TENTRB,MON
MON,DAB,KVB,MID,TEQTRC,MON
MON,DAB,KVB,MID,TRO,MON
MON,DAB,KVB,NLNVAL,TRO,MON
MON,DAB,KVB,OSOVFB,TRO,MON
MON,DAB,KVB,TENTRB,TRO,MON
MON,DAB,KVB,TEQTRC,TRO,MON
MON,DAB,MID,NLNVAL,TRO,MON
MON,DAB,MID,OSOVFB,TRO,MON
MON,DAB,MID,TENTRB,TRO,MON
MON,DAB,MID,TEQTRC,TRO,MON
MON,DSA,DSS,KVB,MID,MON
MON,DSA,DSS,KVB,TENTRB,MON
MON,DSA,DSS,KVB,TEQTRC,MON
MON,DSA,DSS,KVB,TRO,MON
MON,DSA,DSS,MID,TENTRB,MON
MON,DSA,DSS,MID,TEQTRC,MON
MON,DSA,DSS,MID,TRO,MON
MON,DSA,DSS,NLNVAL,TRO,MON
MON,DSA,DSS,OSOVFB,TRO,MON
MON,DSA,DSS,TENTRB,TRO,MON
MON,DSA,DSS,TEQTRC,TRO,MON
MON,DSA,KVB,MID,NLNVAL,MON
MON,DSA,KVB,MID,OSOVFB,MON
MON,DSA,KVB,MID,TENTRB,MON
MON,DSA,KVB,MID,TEQTRC,MON
MON,DSA,KVB,MID,TRO,MON
MON,DSA,KVB,NLNVAL,TENTRB,MON
MON,DSA,KVB,NLNVAL,TEQTRC,MON
MON,DSA,KVB,NLNVAL,TRO,MON
MON,DSA,KVB,OSCOSE,TRO,MON
MON,DSA,KVB,OSOVFB,TENTRB,MON
MON,DSA,KVB,OSOVFB,TEQTRC,MON
MON,DSA,KVB,OSOVFB,TRO,MON
MON,DSA,KVB,TENTRB,TEQTRC,MON
MON,DSA,KVB,TENTRB,TRO,MON
MON,DSA,KVB,TEQTRC,TRO,MON
MON,DSA,MID,NLNVAL,TENTRB,MON
MON,DSA,MID,NLNVAL,TEQTRC,MON
MON,DSA,MID,NLNVAL,TRO,MON
MON,DSA,MID,OSCOSE,TRO,MON
MON,DSA,MID,OSOVFB,TENTRB,MON
MON,DSA,MID,OSOVFB,TEQTRC,MON
MON,DSA,MID,OSOVFB,TRO,MON
MON,DSA,MID,TENTRB,TEQTRC,MON
MON,DSA,MID,TENTRB,TRO,MON
MON,DSA,MID,TEQTRC,TRO,MON
MON,DSA,NLNVAL,OSOVFB,TRO,MON
MON,DSA,NLNVAL,TENTRB,TRO,MON
MON,DSA,NLNVAL,TEQTRC,TRO,MON
MON,DSA,OSOVFB,TENTRB,TRO,MON
MON,DSA,OSOVFB,TEQTRC,TRO,MON
MON,DSA,TENTRB,TEQTRC,TRO,MON
MON,DSS,KVB,MID,NLNVAL,MON
MON,DSS,KVB,MID,OSOVFB,MON
MON,DSS,KVB,MID,TENTRB,MON
MON,DSS,KVB,MID,TEQTRC,MON
MON,DSS,KVB,MID,TRO,MON
MON,DSS,KVB,NLNVAL,TENTRB,MON
MON,DSS,KVB,NLNVAL,TEQTRC,MON
MON,DSS,KVB,NLNVAL,TRO,MON
MON,DSS,KVB,OSCOSE,TRO,MON
MON,DSS,KVB,OSOVFB,TENTRB,MON
MON,DSS,KVB,OSOVFB,TEQTRC,MON
MON,DSS,KVB,OSOVFB,TRO,MON
MON,DSS,KVB,TENTRB,TEQTRC,MON
MON,DSS,KVB,TENTRB,TRO,MON
MON,DSS,KVB,TEQTRC,TRO,MON
MON,DSS,MID,NLNVAL,TENTRB,MON
MON,DSS,MID,NLNVAL,TEQTRC,MON
MON,DSS,MID,NLNVAL,TRO,MON
MON,DSS,MID,OSCOSE,TRO,MON
MON,DSS,MID,OSOVFB,TENTRB,MON
MON,DSS,MID,OSOVFB,TEQTRC,MON
MON,DSS,MID,OSOVFB,TRO,MON
MON,DSS,MID,TENTRB,TEQTRC,MON
MON,DSS,MID,TENTRB,TRO,MON
MON,DSS,MID,TEQTRC,TRO,MON
MON,DSS,NLNVAL,OSOVFB,TRO,MON
MON,DSS,NLNVAL,TENTRB,TRO,MON
MON,DSS,NLNVAL,TEQTRC,TRO,MON
MON,DSS,OSOVFB,TENTRB,TRO,MON
MON,DSS,OSOVFB,TEQTRC,TRO,MON
MON,DSS,TENTRB,TEQTRC,TRO,MON
MON,KVB,MID,NLNVAL,OSCOSE,MON
MON,KVB,MID,NLNVAL,OSOVFB,MON
MON,KVB,MID,NLNVAL,TENTRB,MON
MON,KVB,MID,NLNVAL,TEQTRC,MON
MON,KVB,MID,NLNVAL,TRO,MON
MON,KVB,MID,OSCOSE,OSOVFB,MON
MON,KVB,MID,OSCOSE,TENTRB,MON
MON,KVB,MID,OSCOSE,TEQTRC,MON
MON,KVB,MID,OSCOSE,TRO,MON
MON,KVB,MID,OSOVFB,TENTRB,MON
MON,KVB,MID,OSOVFB,TEQTRC,MON
MON,KVB,MID,OSOVFB,TRO,MON
MON,KVB,MID,TENTRB,TEQTRC,MON
MON,KVB,MID,TENTRB,TRO,MON
MON,KVB,MID,TEQTRC,TRO,MON
MON,KVB,NLNVAL,OSCOSE,TRO,MON
MON,KVB,NLNVAL,OSOVFB,TENTRB,MON
MON,KVB,NLNVAL,OSOVFB,TEQTRC,MON
MON,KVB,NLNVAL,OSOVFB,TRO,MON
MON,KVB,NLNVAL,TENTRB,TEQTRC,MON
MON,KVB,NLNVAL,TENTRB,TRO,MON
MON,KVB,NLNVAL,TEQTRC,TRO,MON
MON,KVB,OSCOSE,OSOVFB,TRO,MON
MON,KVB,OSCOSE,TENTRB,TRO,MON
MON,KVB,OSCOSE,TEQTRC,TRO,MON
MON,KVB,OSOVFB,TENTRB,TEQTRC,MON
MON,KVB,OSOVFB,TENTRB,TRO,MON
MON,KVB,OSOVFB,TEQTRC,TRO,MON
MON,KVB,TENTRB,TEQTRC,TRO,MON
MON,MID,NLNVAL,OSCOSE,TRO,MON
MON,MID,NLNVAL,OSOVFB,TENTRB,MON
MON,MID,NLNVAL,OSOVFB,TEQTRC,MON
MON,MID,NLNVAL,OSOVFB,TRO,MON
MON,MID,NLNVAL,TENTRB,TEQTRC,MON
MON,MID,NLNVAL,TENTRB,TRO,MON
MON,MID,NLNVAL,TEQTRC,TRO,MON
MON,MID,OSCOSE,OSOVFB,TRO,MON
MON,MID,OSCOSE,TENTRB,TRO,MON
MON,MID,OSCOSE,TEQTRC,TRO,MON
MON,MID,OSOVFB,TENTRB,TEQTRC,MON
MON,MID,OSOVFB,TENTRB,TRO,MON
MON,MID,OSOVFB,TEQTRC,TRO,MON
MON,MID,TENTRB,TEQTRC,TRO,MON
MON,NLNVAL,OSOVFB,TENTRB,TRO,MON
MON,NLNVAL,OSOVFB,TEQTRC,TRO,MON
MON,NLNVAL,TENTRB,TEQTRC,TRO,MON
MON,OSOVFB,TENTRB,TEQTRC,TRO,MON
MON,APTOSS,ASL,KVB,MID,TRO,MON
MON,APTOSS,KVB,MID,OSOVFB,TRO,MON
MON,APTOSS,KVB,MID,TENTRB,TRO,MON
MON,APTOSS,KVB,MID,TEQTRC,TRO,MON
MON,ASL,DSA,KVB,MID,TRO,MON
MON,ASL,DSS,KVB,MID,TRO,MON
MON,ASL,KVB,MID,NLNVAL,TRO,MON
MON,ASL,KVB,MID,OSOVFB,TRO,MON
MON,ASL,KVB,MID,TENTRB,TRO,MON
MON,ASL,KVB,MID,TEQTRC,TRO,MON
MON,DSA,DSS,KVB,MID,TRO,MON
MON,DSA,KVB,MID,NLNVAL,TRO,MON
MON,DSA,KVB,MID,OSOVFB,TRO,MON
MON,DSA,KVB,MID,TENTRB,TRO,MON
MON,DSA,KVB,MID,TEQTRC,TRO,MON
MON,DSS,KVB,MID,NLNVAL,TRO,MON
MON,DSS,KVB,MID,OSOVFB,TRO,MON
MON,DSS,KVB,MID,TENTRB,TRO,MON
MON,DSS,KVB,MID,TEQTRC,TRO,MON
MON,KVB,MID,NLNVAL,OSOVFB,TRO,MON
MON,KVB,MID,NLNVAL,TENTRB,TRO,MON
MON,KVB,MID,NLNVAL,TEQTRC,TRO,MON
MON,KVB,MID,OSOVFB,TENTRB,TRO,MON
MON,KVB,MID,OSOVFB,TEQTRC,TRO,MON
