MON,ASL,MON
MON,DAB,MON
MON,DSA,MON
MON,DSS,MON
MON,GFA,MON
MON,GFB,MON
MON,GFC,MON
MON,KVB,MON
MON,NLN,MON
MON,STA,MON
MON,STB,MON
MON,STC,MON
MON,TEQ,MON
MON,TRC,MON
MON,VAL,MON
MON,STB,VAL,MON
MON,STC,TEQ,MON
MON,STC,TRC,MON
MON,STC,VAL,MON
MON,TEQ,TRC,MON
MON,TEQ,VAL,MON
MON,TRC,VAL,MON
MON,DAB,DSA,ASL,MON
MON,ASL,DSS,DAB,MON
MON,ASL,GFA,DAB,MON
MON,ASL,GFB,DAB,MON
MON,ASL,GFC,DAB,MON
MON,KVB,ASL,DAB,MON
MON,DAB,ASL,NLN,MON
MON,ASL,STA,DAB,MON
MON,ASL,STB,DAB,MON
MON,ASL,STC,DAB,MON
MON,DAB,ASL,TEQ,MON
MON,DAB,ASL,TRC,MON
MON,DAB,ASL,VAL,MON
MON,ASL,DSA,DSS,MON
MON,ASL,GFA,DSA,MON
MON,ASL,GFB,DSA,MON
MON,ASL,DSA,GFC,MON
MON,KVB,ASL,DSA,MON
MON,DSA,ASL,NLN,MON
MON,ASL,STA,DSA,MON
MON,ASL,STB,DSA,MON
MON,ASL,STC,DSA,MON
MON,DSA,ASL,TEQ,MON
MON,DSA,ASL,TRC,MON
MON,DSA,ASL,VAL,MON
MON,ASL,GFA,DSS,MON
MON,ASL,GFB,DSS,MON
MON,ASL,GFC,DSS,MON
MON,DSS,ASL,KVB,MON
MON,DSS,ASL,NLN,MON
MON,ASL,STA,DSS,MON
MON,ASL,STB,DSS,MON
MON,ASL,STC,DSS,MON
MON,DSS,ASL,TEQ,MON
MON,DSS,ASL,TRC,MON
MON,DSS,ASL,VAL,MON
MON,ASL,GFA,GFB,MON
MON,ASL,GFA,GFC,MON
MON,KVB,ASL,GFA,MON
MON,GFA,ASL,NLN,MON
MON,ASL,STA,GFA,MON
MON,ASL,STB,GFA,MON
MON,ASL,STC,GFA,MON
MON,GFA,ASL,TEQ,MON
MON,GFA,ASL,TRC,MON
MON,GFA,ASL,VAL,MON
MON,ASL,GFB,GFC,MON
MON,GFB,ASL,KVB,MON
MON,GFB,ASL,NLN,MON
MON,ASL,STA,GFB,MON
MON,ASL,STB,GFB,MON
MON,ASL,STC,GFB,MON
MON,GFB,ASL,TEQ,MON
MON,GFB,ASL,TRC,MON
MON,GFB,ASL,VAL,MON
MON,GFC,ASL,KVB,MON
MON,GFC,ASL,NLN,MON
MON,ASL,STA,GFC,MON
MON,ASL,STB,GFC,MON
MON,ASL,STC,GFC,MON
MON,GFC,ASL,TEQ,MON
MON,GFC,ASL,TRC,MON
MON,GFC,ASL,VAL,MON
MON,KVB,ASL,NLN,MON
MON,KVB,ASL,STA,MON
MON,ASL,STB,KVB,MON
MON,KVB,ASL,STC,MON
MON,KVB,ASL,TEQ,MON
MON,KVB,ASL,TRC,MON
MON,KVB,ASL,VAL,MON
MON,NLN,ASL,STA,MON
MON,NLN,ASL,STB,MON
MON,NLN,ASL,STC,MON
MON,ASL,NLN,TEQ,MON
MON,ASL,NLN,TRC,MON
MON,NLN,ASL,VAL,MON
MON,ASL,STB,STA,MON
MON,ASL,STA,STC,MON
MON,STA,ASL,TEQ,MON
MON,STA,ASL,TRC,MON
MON,STA,ASL,VAL,MON
MON,ASL,STB,STC,MON
MON,STB,ASL,TEQ,MON
MON,STB,ASL,TRC,MON
MON,STB,ASL,VAL,MON
MON,STC,ASL,TEQ,MON
MON,STC,ASL,TRC,MON
MON,STC,ASL,VAL,MON
MON,TRC,TEQ,ASL,MON
MON,TEQ,ASL,VAL,MON
MON,TRC,ASL,VAL,MON
MON,DAB,DSS,DSA,MON
MON,DAB,DSA,GFB,MON
MON,DAB,DSA,GFC,MON
MON,DAB,DSA,KVB,MON
MON,NLN,DSA,DAB,MON
MON,DAB,DSA,STA,MON
MON,DAB,DSA,STB,MON
MON,DAB,DSA,STC,MON
MON,TEQ,DSA,DAB,MON
MON,DAB,DSA,TRC,MON
MON,DAB,DSA,VAL,MON
MON,GFB,DSS,DAB,MON
MON,DAB,DSS,GFC,MON
MON,DAB,DSS,KVB,MON
MON,DAB,DSS,NLN,MON
MON,DAB,DSS,STA,MON
MON,DAB,DSS,STB,MON
MON,DAB,DSS,STC,MON
MON,DAB,DSS,TEQ,MON
MON,TRC,DSS,DAB,MON
MON,VAL,DSS,DAB,MON
MON,DAB,GFB,GFA,MON
MON,DAB,GFC,GFA,MON
MON,DAB,GFA,KVB,MON
MON,DAB,GFA,NLN,MON
MON,DAB,STA,GFA,MON
MON,DAB,GFA,TEQ,MON
MON,DAB,GFA,TRC,MON
MON,DAB,GFA,VAL,MON
MON,DAB,GFC,GFB,MON
MON,DAB,GFB,KVB,MON
MON,DAB,GFB,NLN,MON
MON,DAB,STA,GFB,MON
MON,DAB,GFB,STB,MON
MON,DAB,STC,GFB,MON
MON,DAB,GFB,TEQ,MON
MON,DAB,GFB,TRC,MON
MON,DAB,GFB,VAL,MON
MON,DAB,GFC,KVB,MON
MON,DAB,GFC,NLN,MON
MON,DAB,STA,GFC,MON
MON,DAB,GFC,STB,MON
MON,DAB,STC,GFC,MON
MON,DAB,GFC,TEQ,MON
MON,DAB,GFC,TRC,MON
MON,DAB,GFC,VAL,MON
MON,NLN,KVB,DAB,MON
MON,DAB,STA,KVB,MON
MON,DAB,STB,KVB,MON
MON,KVB,STC,DAB,MON
MON,DAB,KVB,TEQ,MON
MON,DAB,KVB,TRC,MON
MON,DAB,KVB,VAL,MON
MON,DAB,STA,NLN,MON
MON,DAB,STB,NLN,MON
MON,DAB,STC,NLN,MON
MON,DAB,NLN,TEQ,MON
MON,DAB,NLN,TRC,MON
MON,DAB,VAL,NLN,MON
MON,DAB,STA,STB,MON
MON,DAB,STC,STA,MON
MON,DAB,STA,TEQ,MON
MON,DAB,STA,TRC,MON
MON,VAL,STA,DAB,MON
MON,DAB,STC,STB,MON
MON,DAB,STB,TEQ,MON
MON,DAB,STB,TRC,MON
MON,DAB,STB,VAL,MON
MON,TEQ,STC,DAB,MON
MON,TRC,STC,DAB,MON
MON,VAL,STC,DAB,MON
MON,DAB,TEQ,TRC,MON
MON,DAB,VAL,TEQ,MON
MON,DAB,VAL,TRC,MON
MON,DSS,DSA,GFA,MON
MON,DSS,DSA,GFB,MON
MON,DSS,DSA,GFC,MON
MON,DSS,DSA,KVB,MON
MON,NLN,DSA,DSS,MON
MON,DSS,DSA,STA,MON
MON,DSS,DSA,STB,MON
MON,DSS,DSA,STC,MON
MON,DSS,DSA,TEQ,MON
MON,DSS,DSA,TRC,MON
MON,DSS,DSA,VAL,MON
MON,DSA,GFB,GFA,MON
MON,DSA,GFA,GFC,MON
MON,DSA,GFA,KVB,MON
MON,DSA,GFA,NLN,MON
MON,DSA,STA,GFA,MON
MON,DSA,STB,GFA,MON
MON,DSA,STC,GFA,MON
MON,DSA,GFA,TEQ,MON
MON,DSA,GFA,TRC,MON
MON,DSA,GFA,VAL,MON
MON,DSA,GFB,GFC,MON
MON,DSA,GFB,KVB,MON
MON,DSA,GFB,NLN,MON
MON,DSA,STA,GFB,MON
MON,DSA,STB,GFB,MON
MON,DSA,STC,GFB,MON
MON,DSA,GFB,TEQ,MON
MON,DSA,GFB,TRC,MON
MON,DSA,GFB,VAL,MON
MON,DSA,GFC,KVB,MON
MON,NLN,GFC,DSA,MON
MON,DSA,STA,GFC,MON
MON,DSA,STB,GFC,MON
MON,DSA,STC,GFC,MON
MON,DSA,GFC,TEQ,MON
MON,TRC,GFC,DSA,MON
MON,VAL,GFC,DSA,MON
MON,KVB,NLN,DSA,MON
MON,DSA,STA,KVB,MON
MON,DSA,STB,KVB,MON
MON,DSA,STC,KVB,MON
MON,DSA,KVB,TEQ,MON
MON,DSA,KVB,TRC,MON
MON,DSA,VAL,KVB,MON
MON,DSA,STA,NLN,MON
MON,DSA,STB,NLN,MON
MON,DSA,STC,NLN,MON
MON,TEQ,NLN,DSA,MON
MON,DSA,NLN,TRC,MON
MON,DSA,NLN,VAL,MON
MON,DSA,STA,STB,MON
MON,DSA,STC,STA,MON
MON,DSA,STA,TEQ,MON
MON,DSA,STA,TRC,MON
MON,DSA,STA,VAL,MON
MON,DSA,STC,STB,MON
MON,TEQ,STB,DSA,MON
MON,DSA,STB,TRC,MON
MON,DSA,STB,VAL,MON
MON,DSA,STC,TEQ,MON
MON,DSA,STC,TRC,MON
MON,DSA,STC,VAL,MON
MON,TRC,TEQ,DSA,MON
MON,DSA,VAL,TEQ,MON
MON,TRC,VAL,DSA,MON
MON,DSS,GFB,GFA,MON
MON,DSS,GFA,GFC,MON
MON,DSS,GFA,KVB,MON
MON,DSS,GFA,NLN,MON
MON,DSS,STA,GFA,MON
MON,DSS,STB,GFA,MON
MON,DSS,STC,GFA,MON
MON,DSS,GFA,TEQ,MON
MON,DSS,GFA,TRC,MON
MON,DSS,GFA,VAL,MON
MON,DSS,GFB,GFC,MON
MON,DSS,GFB,KVB,MON
MON,DSS,GFB,NLN,MON
MON,DSS,STA,GFB,MON
MON,DSS,STB,GFB,MON
MON,DSS,STC,GFB,MON
MON,DSS,GFB,TEQ,MON
MON,DSS,GFB,TRC,MON
MON,VAL,GFB,DSS,MON
MON,DSS,GFC,KVB,MON
MON,DSS,GFC,NLN,MON
MON,DSS,STA,GFC,MON
MON,DSS,STB,GFC,MON
MON,DSS,STC,GFC,MON
MON,DSS,GFC,TEQ,MON
MON,DSS,GFC,TRC,MON
MON,DSS,GFC,VAL,MON
MON,DSS,NLN,KVB,MON
MON,DSS,STA,KVB,MON
MON,KVB,STB,DSS,MON
MON,DSS,STC,KVB,MON
MON,TEQ,KVB,DSS,MON
MON,DSS,KVB,TRC,MON
MON,DSS,VAL,KVB,MON
MON,DSS,STA,NLN,MON
MON,DSS,STB,NLN,MON
MON,DSS,STC,NLN,MON
MON,DSS,NLN,TEQ,MON
MON,DSS,NLN,TRC,MON
MON,DSS,NLN,VAL,MON
MON,DSS,STA,STB,MON
MON,DSS,STC,STA,MON
MON,DSS,STA,TEQ,MON
MON,DSS,STA,TRC,MON
MON,DSS,STA,VAL,MON
MON,DSS,STC,STB,MON
MON,DSS,STB,TEQ,MON
MON,DSS,STB,TRC,MON
MON,DSS,STB,VAL,MON
MON,DSS,STC,TEQ,MON
MON,DSS,STC,TRC,MON
MON,DSS,STC,VAL,MON
MON,DSS,TEQ,TRC,MON
MON,DSS,VAL,TEQ,MON
MON,DSS,VAL,TRC,MON
MON,GFA,GFB,GFC,MON
MON,GFB,GFA,KVB,MON
MON,GFB,GFA,NLN,MON
MON,GFA,STA,GFB,MON
MON,GFA,STB,GFB,MON
MON,GFA,STC,GFB,MON
MON,GFB,GFA,TEQ,MON
MON,GFB,GFA,TRC,MON
MON,GFB,GFA,VAL,MON
MON,GFC,GFA,KVB,MON
MON,GFC,GFA,NLN,MON
MON,GFA,STA,GFC,MON
MON,GFA,STB,GFC,MON
MON,GFA,STC,GFC,MON
MON,GFC,GFA,TEQ,MON
MON,GFC,GFA,TRC,MON
MON,GFC,GFA,VAL,MON
MON,KVB,GFA,NLN,MON
MON,KVB,GFA,STA,MON
MON,KVB,STB,GFA,MON
MON,KVB,GFA,STC,MON
MON,GFA,KVB,TEQ,MON
MON,GFA,KVB,TRC,MON
MON,VAL,GFA,KVB,MON
MON,GFA,STA,NLN,MON
MON,GFA,STB,NLN,MON
MON,NLN,GFA,STC,MON
MON,GFA,NLN,TEQ,MON
MON,GFA,NLN,TRC,MON
MON,GFA,NLN,VAL,MON
MON,GFA,STB,STA,MON
MON,GFA,STA,STC,MON
MON,STA,GFA,TEQ,MON
MON,STA,GFA,TRC,MON
MON,GFA,STA,VAL,MON
MON,GFA,STB,STC,MON
MON,GFA,STB,TEQ,MON
MON,TRC,STB,GFA,MON
MON,GFA,STB,VAL,MON
MON,STC,GFA,TEQ,MON
MON,STC,GFA,TRC,MON
MON,STC,GFA,VAL,MON
MON,GFA,TEQ,TRC,MON
MON,GFA,VAL,TEQ,MON
MON,GFA,VAL,TRC,MON
MON,GFC,GFB,KVB,MON
MON,GFC,GFB,NLN,MON
MON,GFB,STA,GFC,MON
MON,GFC,GFB,STB,MON
MON,STC,GFB,GFC,MON
MON,GFC,GFB,TEQ,MON
MON,GFC,GFB,TRC,MON
MON,GFC,GFB,VAL,MON
MON,KVB,GFB,NLN,MON
MON,GFB,STA,KVB,MON
MON,KVB,STB,GFB,MON
MON,KVB,GFB,STC,MON
MON,GFB,KVB,TEQ,MON
MON,GFB,KVB,TRC,MON
MON,VAL,GFB,KVB,MON
MON,GFB,STA,NLN,MON
MON,GFB,STB,NLN,MON
MON,NLN,STC,GFB,MON
MON,GFB,NLN,TEQ,MON
MON,GFB,NLN,TRC,MON
MON,GFB,NLN,VAL,MON
MON,GFB,STA,STB,MON
MON,GFB,STA,STC,MON
MON,GFB,STA,TEQ,MON
MON,TRC,STA,GFB,MON
MON,GFB,STA,VAL,MON
MON,GFB,STB,STC,MON
MON,GFB,STB,TEQ,MON
MON,GFB,STB,TRC,MON
MON,GFB,STB,VAL,MON
MON,STC,GFB,TEQ,MON
MON,STC,GFB,TRC,MON
MON,GFB,STC,VAL,MON
MON,GFB,TEQ,TRC,MON
MON,GFB,VAL,TEQ,MON
MON,GFB,VAL,TRC,MON
MON,GFC,NLN,KVB,MON
MON,GFC,STA,KVB,MON
MON,GFC,STB,KVB,MON
MON,GFC,STC,KVB,MON
MON,TEQ,KVB,GFC,MON
MON,GFC,KVB,TRC,MON
MON,KVB,VAL,GFC,MON
MON,GFC,STA,NLN,MON
MON,GFC,STB,NLN,MON
MON,GFC,STC,NLN,MON
MON,GFC,NLN,TEQ,MON
MON,GFC,NLN,TRC,MON
MON,GFC,NLN,VAL,MON
MON,GFC,STA,STB,MON
MON,GFC,STA,STC,MON
MON,GFC,STA,TEQ,MON
MON,TRC,STA,GFC,MON
MON,GFC,STA,VAL,MON
MON,GFC,STC,STB,MON
MON,GFC,STB,TEQ,MON
MON,TRC,STB,GFC,MON
MON,GFC,STB,VAL,MON
MON,STC,GFC,TEQ,MON
MON,STC,GFC,TRC,MON
MON,GFC,STC,VAL,MON
MON,GFC,TEQ,TRC,MON
MON,GFC,VAL,TEQ,MON
MON,GFC,VAL,TRC,MON
MON,KVB,STA,NLN,MON
MON,KVB,STB,NLN,MON
MON,KVB,NLN,STC,MON
MON,KVB,NLN,TEQ,MON
MON,KVB,NLN,TRC,MON
MON,KVB,VAL,NLN,MON
MON,KVB,STB,STA,MON
MON,KVB,STA,STC,MON
MON,STA,KVB,TEQ,MON
MON,STA,KVB,TRC,MON
MON,VAL,STA,KVB,MON
MON,KVB,STB,STC,MON
MON,STB,KVB,TEQ,MON
MON,STB,KVB,TRC,MON
MON,KVB,STB,VAL,MON
MON,STC,KVB,TEQ,MON
MON,STC,KVB,TRC,MON
MON,KVB,VAL,STC,MON
MON,KVB,TEQ,TRC,MON
MON,KVB,VAL,TEQ,MON
MON,KVB,VAL,TRC,MON
MON,NLN,STB,STA,MON
MON,NLN,STA,STC,MON
MON,STA,NLN,TEQ,MON
MON,STA,NLN,TRC,MON
MON,STA,NLN,VAL,MON
MON,NLN,STB,STC,MON
MON,STB,NLN,TEQ,MON
MON,STB,NLN,TRC,MON
MON,STB,NLN,VAL,MON
MON,TEQ,NLN,STC,MON
MON,STC,NLN,TRC,MON
MON,STC,NLN,VAL,MON
MON,NLN,TEQ,TRC,MON
MON,TEQ,NLN,VAL,MON
MON,TRC,NLN,VAL,MON
MON,STB,STA,STC,MON
MON,STA,STB,TEQ,MON
MON,STA,STB,TRC,MON
MON,STA,STB,VAL,MON
MON,TEQ,STA,STC,MON
MON,STC,STA,TRC,MON
MON,STC,STA,VAL,MON
MON,STA,TEQ,TRC,MON
MON,STA,VAL,TEQ,MON
MON,STA,VAL,TRC,MON
MON,TEQ,STB,STC,MON
MON,STC,STB,TRC,MON
MON,STC,STB,VAL,MON
MON,STB,TEQ,TRC,MON
MON,STB,VAL,TEQ,MON
MON,STB,VAL,TRC,MON
MON,STC,TEQ,TRC,MON
MON,STC,VAL,TEQ,MON
MON,STC,VAL,TRC,MON
MON,TRC,TEQ,VAL,MON
MON,DAB,GFB,ASL,VAL,MON
MON,DAB,KVB,ASL,TEQ,MON
MON,DAB,KVB,ASL,TRC,MON
MON,DAB,KVB,ASL,VAL,MON
MON,DAB,ASL,VAL,TEQ,MON
MON,TRC,VAL,ASL,DAB,MON
MON,KVB,ASL,DSA,DSS,MON
MON,DSS,DSA,ASL,VAL,MON
MON,DSA,GFA,ASL,KVB,MON
MON,DSA,GFA,ASL,VAL,MON
MON,DSA,GFB,ASL,KVB,MON
MON,DSA,GFB,ASL,TEQ,MON
MON,DSA,GFB,ASL,TRC,MON
MON,DSA,GFB,ASL,VAL,MON
MON,KVB,ASL,DSA,GFC,MON
MON,GFC,DSA,ASL,TEQ,MON
MON,GFC,DSA,ASL,TRC,MON
MON,GFC,DSA,ASL,VAL,MON
MON,DSA,ASL,NLN,KVB,MON
MON,DSA,STA,ASL,KVB,MON
MON,DSA,STB,ASL,KVB,MON
MON,KVB,ASL,STC,DSA,MON
MON,DSA,ASL,KVB,TEQ,MON
MON,DSA,ASL,KVB,TRC,MON
MON,DSA,ASL,VAL,KVB,MON
MON,DSA,ASL,NLN,TEQ,MON
MON,DSA,ASL,NLN,TRC,MON
MON,DSA,ASL,NLN,VAL,MON
MON,DSA,STA,ASL,TEQ,MON
MON,DSA,STA,ASL,TRC,MON
MON,DSA,STA,ASL,VAL,MON
MON,DSA,STB,ASL,VAL,MON
MON,DSA,STC,ASL,VAL,MON
MON,DSA,ASL,TEQ,TRC,MON
MON,DSA,ASL,VAL,TEQ,MON
MON,TRC,VAL,ASL,DSA,MON
MON,KVB,ASL,GFA,DSS,MON
MON,DSS,GFA,ASL,VAL,MON
MON,KVB,ASL,GFB,DSS,MON
MON,DSS,GFB,ASL,TEQ,MON
MON,DSS,GFB,ASL,TRC,MON
MON,DSS,GFB,ASL,VAL,MON
MON,DSS,GFC,ASL,KVB,MON
MON,DSS,GFC,ASL,TEQ,MON
MON,DSS,GFC,ASL,TRC,MON
MON,DSS,GFC,ASL,VAL,MON
MON,DSS,ASL,NLN,KVB,MON
MON,DSS,STA,ASL,KVB,MON
MON,KVB,ASL,STB,DSS,MON
MON,KVB,ASL,STC,DSS,MON
MON,TEQ,KVB,ASL,DSS,MON
MON,DSS,ASL,KVB,TRC,MON
MON,DSS,ASL,VAL,KVB,MON
MON,TEQ,NLN,ASL,DSS,MON
MON,DSS,ASL,NLN,TRC,MON
MON,DSS,ASL,NLN,VAL,MON
MON,DSS,STA,ASL,TEQ,MON
MON,DSS,STA,ASL,TRC,MON
MON,DSS,STA,ASL,VAL,MON
MON,DSS,STB,ASL,VAL,MON
MON,DSS,STC,ASL,VAL,MON
MON,TRC,TEQ,ASL,DSS,MON
MON,DSS,ASL,VAL,TEQ,MON
MON,DSS,ASL,VAL,TRC,MON
MON,GFB,GFA,ASL,KVB,MON
MON,GFB,GFA,ASL,TEQ,MON
MON,GFB,GFA,ASL,TRC,MON
MON,GFB,GFA,ASL,VAL,MON
MON,GFC,GFA,ASL,KVB,MON
MON,GFC,GFA,ASL,TEQ,MON
MON,GFC,GFA,ASL,TRC,MON
MON,GFC,GFA,ASL,VAL,MON
MON,KVB,GFA,ASL,NLN,MON
MON,KVB,ASL,STA,GFA,MON
MON,KVB,ASL,STB,GFA,MON
MON,GFA,STC,ASL,KVB,MON
MON,KVB,GFA,ASL,TEQ,MON
MON,KVB,GFA,ASL,TRC,MON
MON,KVB,GFA,ASL,VAL,MON
MON,GFA,ASL,NLN,TEQ,MON
MON,GFA,ASL,NLN,TRC,MON
MON,GFA,ASL,NLN,VAL,MON
MON,GFA,STA,ASL,TEQ,MON
MON,GFA,STA,ASL,TRC,MON
MON,GFA,STA,ASL,VAL,MON
MON,VAL,ASL,STB,GFA,MON
MON,GFA,STC,ASL,VAL,MON
MON,GFA,ASL,TEQ,TRC,MON
MON,GFA,ASL,VAL,TEQ,MON
MON,TRC,VAL,ASL,GFA,MON
MON,GFC,GFB,ASL,KVB,MON
MON,GFC,GFB,ASL,NLN,MON
MON,ASL,STA,GFB,GFC,MON
MON,GFC,GFB,ASL,TEQ,MON
MON,GFC,GFB,ASL,TRC,MON
MON,GFC,GFB,ASL,VAL,MON
MON,KVB,GFB,ASL,NLN,MON
MON,GFB,STA,ASL,KVB,MON
MON,KVB,ASL,STB,GFB,MON
MON,GFB,STC,ASL,KVB,MON
MON,TEQ,KVB,ASL,GFB,MON
MON,GFB,ASL,KVB,TRC,MON
MON,KVB,GFB,ASL,VAL,MON
MON,GFB,STA,ASL,NLN,MON
MON,TEQ,NLN,ASL,GFB,MON
MON,GFB,ASL,NLN,TRC,MON
MON,GFB,ASL,NLN,VAL,MON
MON,GFB,STA,ASL,TEQ,MON
MON,GFB,STA,ASL,TRC,MON
MON,GFB,STA,ASL,VAL,MON
MON,GFB,STB,ASL,TEQ,MON
MON,GFB,STB,ASL,TRC,MON
MON,GFB,STB,ASL,VAL,MON
MON,TEQ,ASL,STC,GFB,MON
MON,TRC,ASL,STC,GFB,MON
MON,GFB,STC,ASL,VAL,MON
MON,TRC,TEQ,ASL,GFB,MON
MON,GFB,ASL,VAL,TEQ,MON
MON,GFB,ASL,VAL,TRC,MON
MON,GFC,ASL,NLN,KVB,MON
MON,GFC,STA,ASL,KVB,MON
MON,GFC,STB,ASL,KVB,MON
MON,GFC,STC,ASL,KVB,MON
MON,TEQ,KVB,ASL,GFC,MON
MON,GFC,ASL,KVB,TRC,MON
MON,GFC,ASL,VAL,KVB,MON
MON,GFC,STA,ASL,NLN,MON
MON,GFC,ASL,NLN,TEQ,MON
MON,GFC,ASL,NLN,TRC,MON
MON,GFC,ASL,NLN,VAL,MON
MON,GFC,STA,ASL,TEQ,MON
MON,GFC,STA,ASL,TRC,MON
MON,GFC,STA,ASL,VAL,MON
MON,GFC,STB,ASL,TEQ,MON
MON,GFC,STB,ASL,TRC,MON
MON,GFC,STB,ASL,VAL,MON
MON,GFC,STC,ASL,TEQ,MON
MON,GFC,STC,ASL,TRC,MON
MON,GFC,STC,ASL,VAL,MON
MON,TRC,TEQ,ASL,GFC,MON
MON,GFC,ASL,VAL,TEQ,MON
MON,GFC,ASL,VAL,TRC,MON
MON,KVB,STA,ASL,NLN,MON
MON,KVB,STB,ASL,NLN,MON
MON,KVB,NLN,ASL,STC,MON
MON,KVB,ASL,NLN,TEQ,MON
MON,KVB,ASL,NLN,TRC,MON
MON,KVB,ASL,NLN,VAL,MON
MON,KVB,ASL,STB,STA,MON
MON,KVB,ASL,STA,STC,MON
MON,KVB,STA,ASL,TEQ,MON
MON,KVB,STA,ASL,TRC,MON
MON,KVB,STA,ASL,VAL,MON
MON,KVB,ASL,STB,STC,MON
MON,KVB,STB,ASL,TEQ,MON
MON,KVB,STB,ASL,TRC,MON
MON,KVB,STB,ASL,VAL,MON
MON,TEQ,KVB,ASL,STC,MON
MON,STC,ASL,KVB,TRC,MON
MON,KVB,VAL,ASL,STC,MON
MON,KVB,ASL,TEQ,TRC,MON
MON,KVB,ASL,VAL,TEQ,MON
MON,KVB,ASL,VAL,TRC,MON
MON,STA,ASL,NLN,TEQ,MON
MON,STA,ASL,NLN,TRC,MON
MON,STA,ASL,NLN,VAL,MON
MON,STB,ASL,NLN,TEQ,MON
MON,STB,ASL,NLN,TRC,MON
MON,STB,ASL,NLN,VAL,MON
MON,TEQ,NLN,ASL,STC,MON
MON,STC,ASL,NLN,TRC,MON
MON,STC,ASL,NLN,VAL,MON
MON,ASL,NLN,TEQ,TRC,MON
MON,TEQ,NLN,ASL,VAL,MON
MON,VAL,ASL,NLN,TRC,MON
MON,STA,STB,ASL,TEQ,MON
MON,STA,STB,ASL,TRC,MON
MON,STA,STB,ASL,VAL,MON
MON,STC,STA,ASL,TEQ,MON
MON,STC,STA,ASL,TRC,MON
MON,STC,STA,ASL,VAL,MON
MON,TRC,TEQ,ASL,STA,MON
MON,STA,ASL,VAL,TEQ,MON
MON,STA,ASL,VAL,TRC,MON
MON,STC,STB,ASL,VAL,MON
MON,STB,ASL,TEQ,TRC,MON
MON,STB,ASL,VAL,TEQ,MON
MON,STB,ASL,VAL,TRC,MON
MON,TRC,TEQ,ASL,STC,MON
MON,STC,ASL,VAL,TEQ,MON
MON,STC,ASL,VAL,TRC,MON
MON,TRC,TEQ,ASL,VAL,MON
MON,KVB,VAL,DSA,DAB,MON
MON,DAB,DSA,VAL,TEQ,MON
MON,TRC,VAL,DSA,DAB,MON
MON,DAB,DSS,VAL,KVB,MON
MON,DAB,DSS,VAL,TEQ,MON
MON,DAB,DSS,VAL,TRC,MON
