MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSA,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVB,MON
MON,MID,MON
MON,NLNVAL,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,STASTBSTC,MON
MON,TENTRB,MON
MON,TEQTRC,MON
MON,TRO,MON
MON,ASL,APTOSS,MON
MON,APTOSS,KVB,MON
MON,APTOSS,MID,MON
MON,APTOSS,NLNVAL,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,OSOVFB,MON
MON,APTOSS,TENTRB,MON
MON,APTOSS,TEQTRC,MON
MON,APTOSS,TRO,MON
MON,ASL,DAB,MON
MON,ASL,DSA,MON
MON,ASL,DSS,MON
MON,ASL,KVB,MON
MON,ASL,MID,MON
MON,ASL,NLNVAL,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,ASL,TENTRB,MON
MON,TEQTRC,ASL,MON
MON,ASL,TRO,MON
MON,DAB,DSA,MON
MON,DSS,DAB,MON
MON,KVB,DAB,MON
MON,DAB,NLNVAL,MON
MON,DAB,TEQTRC,MON
MON,DSA,DSS,MON
MON,DSA,KVB,MON
MON,DSA,NLNVAL,MON
MON,DSA,TEQTRC,MON
MON,DSS,KVB,MON
MON,DSS,NLNVAL,MON
MON,DSS,TEQTRC,MON
MON,GFAGFBGFC,KVB,MON
MON,KVB,MID,MON
MON,KVB,NLNVAL,MON
MON,KVB,OSCOSE,MON
MON,KVB,OSOVFB,MON
MON,KVB,STASTBSTC,MON
MON,KVB,TENTRB,MON
MON,KVB,TEQTRC,MON
MON,KVB,TRO,MON
MON,MID,NLNVAL,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,MID,TENTRB,MON
MON,MID,TEQTRC,MON
MON,MID,TRO,MON
MON,NLNVAL,OSCOSE,MON
MON,NLNVAL,OSOVFB,MON
MON,NLNVAL,TENTRB,MON
MON,NLNVAL,TEQTRC,MON
MON,NLNVAL,TRO,MON
MON,OSCOSE,OSOVFB,MON
MON,OSCOSE,TENTRB,MON
MON,OSCOSE,TEQTRC,MON
MON,TRO,OSCOSE,MON
MON,OSOVFB,TENTRB,MON
MON,OSOVFB,TEQTRC,MON
MON,TRO,OSOVFB,MON
MON,TENTRB,TEQTRC,MON
MON,TENTRB,TRO,MON
MON,TEQTRC,TRO,MON
MON,DSA,KVB,TEQTRC,MON
MON,DSS,NLNVAL,KVB,MON
MON,DSS,KVB,TEQTRC,MON
MON,KVB,NLNVAL,MID,MON
MON,KVB,MID,OSCOSE,MON
MON,KVB,MID,OSOVFB,MON
MON,KVB,MID,TENTRB,MON
MON,MID,KVB,TEQTRC,MON
MON,KVB,MID,TRO,MON
MON,KVB,NLNVAL,OSOVFB,MON
MON,KVB,NLNVAL,TENTRB,MON
MON,KVB,NLNVAL,TEQTRC,MON
MON,KVB,NLNVAL,TRO,MON
MON,KVB,OSOVFB,OSCOSE,MON
MON,KVB,OSCOSE,TRO,MON
MON,KVB,OSOVFB,TENTRB,MON
MON,OSOVFB,KVB,TEQTRC,MON
MON,KVB,OSOVFB,TRO,MON
MON,TENTRB,KVB,TEQTRC,MON
MON,KVB,TENTRB,TRO,MON
MON,TEQTRC,KVB,TRO,MON
MON,NLNVAL,MID,OSOVFB,MON
MON,NLNVAL,MID,TENTRB,MON
MON,MID,NLNVAL,TEQTRC,MON
MON,NLNVAL,MID,TRO,MON
MON,OSCOSE,MID,OSOVFB,MON
MON,MID,OSCOSE,TRO,MON
MON,OSOVFB,MID,TENTRB,MON
MON,MID,OSOVFB,TEQTRC,MON
MON,OSOVFB,MID,TRO,MON
MON,TENTRB,MID,TEQTRC,MON
MON,TENTRB,MID,TRO,MON
MON,TEQTRC,MID,TRO,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,TENTRB,TRO,MON
MON,TEQTRC,NLNVAL,TRO,MON
MON,OSOVFB,OSCOSE,TRO,MON
MON,TENTRB,OSOVFB,TRO,MON
MON,TRO,OSOVFB,TEQTRC,MON
MON,TEQTRC,TENTRB,TRO,MON
MON,APTOSS,MID,ASL,KVB,MON
MON,KVB,ASL,APTOSS,TRO,MON
MON,TRO,APTOSS,MID,ASL,MON
MON,KVB,NLNVAL,MID,APTOSS,MON
MON,APTOSS,MID,KVB,OSOVFB,MON
MON,APTOSS,MID,KVB,TEQTRC,MON
MON,KVB,MID,APTOSS,TRO,MON
MON,KVB,NLNVAL,APTOSS,TRO,MON
MON,KVB,OSOVFB,APTOSS,TRO,MON
MON,TEQTRC,KVB,APTOSS,TRO,MON
MON,NLNVAL,MID,APTOSS,TRO,MON
MON,OSOVFB,MID,APTOSS,TRO,MON
MON,TEQTRC,MID,APTOSS,TRO,MON
MON,KVB,ASL,DSA,DSS,MON
MON,KVB,NLNVAL,ASL,MID,MON
MON,KVB,ASL,MID,OSOVFB,MON
MON,KVB,ASL,MID,TENTRB,MON
MON,MID,ASL,KVB,TEQTRC,MON
MON,KVB,ASL,MID,TRO,MON
MON,KVB,ASL,NLNVAL,TRO,MON
MON,KVB,ASL,OSOVFB,TRO,MON
MON,KVB,ASL,TENTRB,TRO,MON
MON,TEQTRC,KVB,ASL,TRO,MON
MON,NLNVAL,ASL,MID,TRO,MON
MON,ASL,MID,OSOVFB,TRO,MON
MON,TENTRB,ASL,MID,TRO,MON
MON,TEQTRC,ASL,MID,TRO,MON
MON,KVB,NLNVAL,MID,OSOVFB,MON
MON,MID,NLNVAL,KVB,TEQTRC,MON
MON,KVB,NLNVAL,MID,TRO,MON
MON,KVB,MID,OSCOSE,TRO,MON
MON,TENTRB,OSOVFB,MID,KVB,MON
MON,OSOVFB,MID,KVB,TEQTRC,MON
MON,KVB,MID,OSOVFB,TRO,MON
MON,KVB,MID,TENTRB,TRO,MON
MON,TEQTRC,KVB,MID,TRO,MON
MON,KVB,NLNVAL,OSOVFB,TRO,MON
MON,TEQTRC,KVB,NLNVAL,TRO,MON
MON,KVB,OSOVFB,TENTRB,TRO,MON
MON,TEQTRC,KVB,OSOVFB,TRO,MON
MON,NLNVAL,MID,OSOVFB,TRO,MON
MON,TEQTRC,NLNVAL,MID,TRO,MON
MON,TENTRB,OSOVFB,MID,TRO,MON
MON,TEQTRC,OSOVFB,MID,TRO,MON
MON,KVB,ASL,MID,APTOSS,TRO,MON
MON,KVB,NLNVAL,ASL,MID,TRO,MON
MON,KVB,ASL,MID,OSOVFB,TRO,MON
MON,TEQTRC,KVB,ASL,MID,TRO,MON
