F,T,S,Value
4,4,7,0.1403
4,5,7,0.0777
5,2,7,0.2597
5,3,7,0.2972
5,4,7,0.3346
5,5,7,0.372
6,2,7,0.2471
6,3,7,0.2285
6,4,7,0.2098
6,5,7,0.1911
1,2,8,0.1905
1,3,8,0.2096
1,4,8,0.2286
1,5,8,0.2477
2,2,8,0.1711
2,3,8,0.1795
2,4,8,0.1879
2,5,8,0.1963
3,2,8,0.4136
3,3,8,0.3128
3,4,8,0.2121
3,5,8,0.1113
4,2,8,0.2656
4,3,8,0.203
4,4,8,0.1403
4,5,8,0.0777
5,2,8,0.2272
5,3,8,0.2321
5,4,8,0.237
5,5,8,0.242
6,2,8,0.2471
6,3,8,0.2285
6,4,8,0.2098
6,5,8,0.1911
1,2,9,0.1905
1,3,9,0.2096
1,4,9,0.2286
1,5,9,0.2477
2,2,9,0.1711
2,3,9,0.1795
2,4,9,0.1879
2,5,9,0.1963
3,2,9,0.4136
3,3,9,0.3128
3,4,9,0.2121
3,5,9,0.1113
4,2,9,0.2656
4,3,9,0.203
4,4,9,0.1403
4,5,9,0.0777
5,2,9,0.2192
5,3,9,0.2161
5,4,9,0.213
5,5,9,0.2099
6,2,9,0.2471
6,3,9,0.2285
6,4,9,0.2098
6,5,9,0.1911
1,2,10,0.1625
1,3,10,0.1536
1,4,10,0.1448
1,5,10,0.1359
2,2,10,0.1495
2,3,10,0.1362
2,4,10,0.123
2,5,10,0.1098
3,2,10,0.546
3,3,10,0.5778
3,4,10,0.6095
3,5,10,0.6412
4,2,10,0.3522
4,3,10,0.3761
4,4,10,0.4001
4,5,10,0.424
5,2,10,0.2402
5,3,10,0.258
5,4,10,0.2759
5,5,10,0.2938
6,2,10,0.251
6,3,10,0.2361
6,4,10,0.2213
6,5,10,0.2065
1,2,11,0.1625
1,3,11,0.1536
1,4,11,0.1448
1,5,11,0.1359
2,2,11,0.1495
2,3,11,0.1362
2,4,11,0.123
2,5,11,0.1098
3,2,11,0.546
3,3,11,0.5778
3,4,11,0.6095
3,5,11,0.6412
4,2,11,0.3522
4,3,11,0.3761
4,4,11,0.4001
4,5,11,0.424
5,2,11,0.2199
5,3,11,0.2175
5,4,11,0.2151
5,5,11,0.2127
6,2,11,0.251
6,3,11,0.2361
6,4,11,0.2213
6,5,11,0.2065
1,2,12,0.1625
1,3,12,0.1536
1,4,12,0.1448
1,5,12,0.1359
2,2,12,0.1495
2,3,12,0.1362
2,4,12,0.123
2,5,12,0.1098
3,2,12,0.546
3,3,12,0.5778
3,4,12,0.6095
3,5,12,0.6412
4,2,12,0.3522
4,3,12,0.3761
4,4,12,0.4001
4,5,12,0.424
5,2,12,0.1996
5,3,12,0.177
5,4,12,0.1543
5,5,12,0.1316
6,2,12,0.251
6,3,12,0.2361
6,4,12,0.2213
6,5,12,0.2065
1,2,13,0.1625
1,3,13,0.1536
1,4,13,0.1448
1,5,13,0.1359
2,2,13,0.1495
2,3,13,0.1362
2,4,13,0.123
2,5,13,0.1098
3,2,13,0.4798
3,3,13,0.4453
3,4,13,0.4108
3,5,13,0.3763
4,2,13,0.3089
4,3,13,0.2895
4,4,13,0.2702
4,5,13,0.2509
5,2,13,0.2402
5,3,13,0.258
5,4,13,0.2759
5,5,13,0.2938
6,2,13,0.2393
6,3,13,0.2127
6,4,13,0.1862
6,5,13,0.1597
1,2,14,0.1625
1,3,14,0.1536
1,4,14,0.1448
1,5,14,0.1359
2,2,14,0.1495
2,3,14,0.1362
2,4,14,0.123
2,5,14,0.1098
3,2,14,0.4798
3,3,14,0.4453
3,4,14,0.4108
3,5,14,0.3763
4,2,14,0.3089
4,3,14,0.2895
4,4,14,0.2702
4,5,14,0.2509
5,2,14,0.2199
5,3,14,0.2175
5,4,14,0.2151
5,5,14,0.2127
6,2,14,0.2393
6,3,14,0.2127
6,4,14,0.1862
6,5,14,0.1597
1,2,15,0.1625
1,3,15,0.1536
1,4,15,0.1448
1,5,15,0.1359
2,2,15,0.1495
2,3,15,0.1362
2,4,15,0.123
2,5,15,0.1098
3,2,15,0.4798
3,3,15,0.4453
3,4,15,0.4108
3,5,15,0.3763
4,2,15,0.3089
4,3,15,0.2895
4,4,15,0.2702
4,5,15,0.2509
5,2,15,0.1996
5,3,15,0.177
5,4,15,0.1543
5,5,15,0.1316
6,2,15,0.2393
6,3,15,0.2127
6,4,15,0.1862
6,5,15,0.1597
1,2,16,0.1625
1,3,16,0.1536
1,4,16,0.1448
1,5,16,0.1359
2,2,16,0.1495
2,3,16,0.1362
2,4,16,0.123
2,5,16,0.1098
3,2,16,0.4136
3,3,16,0.3128
3,4,16,0.2121
3,5,16,0.1113
4,2,16,0.2656
4,3,16,0.203
4,4,16,0.1403
4,5,16,0.0777
5,2,16,0.2402
5,3,16,0.258
5,4,16,0.2759
5,5,16,0.2938
6,2,16,0.2276
6,3,16,0.1893
6,4,16,0.1511
6,5,16,0.1129
1,2,17,0.1625
1,3,17,0.1536
1,4,17,0.1448
1,5,17,0.1359
2,2,17,0.1495
2,3,17,0.1362
2,4,17,0.123
2,5,17,0.1098
3,2,17,0.4136
3,3,17,0.3128
3,4,17,0.2121
3,5,17,0.1113
4,2,17,0.2656
4,3,17,0.203
4,4,17,0.1403
4,5,17,0.0777
5,2,17,0.2199
5,3,17,0.2175
5,4,17,0.2151
5,5,17,0.2127
6,2,17,0.2276
6,3,17,0.1893
6,4,17,0.1511
6,5,17,0.1129
1,2,18,0.1625
1,3,18,0.1536
1,4,18,0.1448
1,5,18,0.1359
2,2,18,0.1495
2,3,18,0.1362
2,4,18,0.123
2,5,18,0.1098
3,2,18,0.4136
3,3,18,0.3128
3,4,18,0.2121
3,5,18,0.1113
4,2,18,0.2656
4,3,18,0.203
4,4,18,0.1403
4,5,18,0.0777
5,2,18,0.1996
5,3,18,0.177
5,4,18,0.1543
5,5,18,0.1316
6,2,18,0.2276
6,3,18,0.1893
6,4,18,0.1511
6,5,18,0.1129
1,2,19,0.1346
1,3,19,0.0978
1,4,19,0.0609
1,5,19,0.0241
2,2,19,0.1278
2,3,19,0.093
2,4,19,0.0581
2,5,19,0.0232
3,2,19,0.546
3,3,19,0.5778
3,4,19,0.6095
3,5,19,0.6412
4,2,19,0.3522
4,3,19,0.3761
4,4,19,0.4001
4,5,19,0.424
5,2,19,0.2206
5,3,19,0.2189
5,4,19,0.2172
5,5,19,0.2155
6,2,19,0.2314
6,3,19,0.197
6,4,19,0.1626
6,5,19,0.1282
1,2,20,0.1346
1,3,20,0.0978
1,4,20,0.0609
1,5,20,0.0241
2,2,20,0.1278
2,3,20,0.093
2,4,20,0.0581
2,5,20,0.0232
3,2,20,0.546
3,3,20,0.5778
3,4,20,0.6095
3,5,20,0.6412
4,2,20,0.3522
4,3,20,0.3761
4,4,20,0.4001
4,5,20,0.424
5,2,20,0.2126
5,3,20,0.2029
5,4,20,0.1932
5,5,20,0.1834
6,2,20,0.2314
6,3,20,0.197
6,4,20,0.1626
6,5,20,0.1282
1,2,21,0.1346
1,3,21,0.0978
1,4,21,0.0609
1,5,21,0.0241
2,2,21,0.1278
2,3,21,0.093
2,4,21,0.0581
2,5,21,0.0232
3,2,21,0.546
3,3,21,0.5778
3,4,21,0.6095
3,5,21,0.6412
4,2,21,0.3522
4,3,21,0.3761
4,4,21,0.4001
4,5,21,0.424
5,2,21,0.1801
5,3,21,0.1378
5,4,21,0.0956
5,5,21,0.0534
6,2,21,0.2314
6,3,21,0.197
6,4,21,0.1626
6,5,21,0.1282
1,2,22,0.1346
1,3,22,0.0978
1,4,22,0.0609
1,5,22,0.0241
2,2,22,0.1278
2,3,22,0.093
2,4,22,0.0581
2,5,22,0.0232
3,2,22,0.4798
3,3,22,0.4453
3,4,22,0.4108
3,5,22,0.3763
4,2,22,0.3089
4,3,22,0.2895
4,4,22,0.2702
4,5,22,0.2509
5,2,22,0.2206
5,3,22,0.2189
5,4,22,0.2172
5,5,22,0.2155
6,2,22,0.232
6,3,22,0.1981
6,4,22,0.1643
6,5,22,0.1304
1,2,23,0.1346
1,3,23,0.0978
1,4,23,0.0609
1,5,23,0.0241
2,2,23,0.1278
2,3,23,0.093
2,4,23,0.0581
2,5,23,0.0232
3,2,23,0.4798
3,3,23,0.4453
3,4,23,0.4108
3,5,23,0.3763
4,2,23,0.3089
4,3,23,0.2895
4,4,23,0.2702
4,5,23,0.2509
5,2,23,0.2126
5,3,23,0.2029
5,4,23,0.1932
5,5,23,0.1834
6,2,23,0.232
6,3,23,0.1981
6,4,23,0.1643
6,5,23,0.1304
1,2,24,0.1346
1,3,24,0.0978
1,4,24,0.0609
1,5,24,0.0241
2,2,24,0.1278
2,3,24,0.093
2,4,24,0.0581
2,5,24,0.0232
3,2,24,0.4798
3,3,24,0.4453
3,4,24,0.4108
3,5,24,0.3763
4,2,24,0.3089
4,3,24,0.2895
4,4,24,0.2702
4,5,24,0.2509
5,2,24,0.1801
5,3,24,0.1378
5,4,24,0.0956
5,5,24,0.0534
6,2,24,0.232
6,3,24,0.1981
6,4,24,0.1643
6,5,24,0.1304
1,2,25,0.1346
1,3,25,0.0978
1,4,25,0.0609
1,5,25,0.0241
2,2,25,0.1278
2,3,25,0.093
2,4,25,0.0581
2,5,25,0.0232
3,2,25,0.4136
3,3,25,0.3128
3,4,25,0.2121
3,5,25,0.1113
4,2,25,0.2656
4,3,25,0.203
4,4,25,0.1403
4,5,25,0.0777
5,2,25,0.2206
5,3,25,0.2189
5,4,25,0.2172
5,5,25,0.2155
6,2,25,0.208
6,3,25,0.1502
6,4,25,0.0924
6,5,25,0.0346
1,2,26,0.1346
1,3,26,0.0978
1,4,26,0.0609
1,5,26,0.0241
2,2,26,0.1278
2,3,26,0.093
2,4,26,0.0581
2,5,26,0.0232
3,2,26,0.4136
3,3,26,0.3128
3,4,26,0.2121
3,5,26,0.1113
4,2,26,0.2656
4,3,26,0.203
4,4,26,0.1403
4,5,26,0.0777
5,2,26,0.2126
5,3,26,0.2029
5,4,26,0.1932
5,5,26,0.1834
6,2,26,0.208
6,3,26,0.1502
6,4,26,0.0924
6,5,26,0.0346
1,2,27,0.1346
1,3,27,0.0978
1,4,27,0.0609
1,5,27,0.0241
2,2,27,0.1278
2,3,27,0.093
2,4,27,0.0581
2,5,27,0.0232
3,2,27,0.4136
3,3,27,0.3128
3,4,27,0.2121
3,5,27,0.1113
4,2,27,0.2656
4,3,27,0.203
4,4,27,0.1403
4,5,27,0.0777
5,2,27,0.1801
5,3,27,0.1378
5,4,27,0.0956
5,5,27,0.0534
6,2,27,0.208
6,3,27,0.1502
6,4,27,0.0924
6,5,27,0.0346
