MON,GFAGFBGFC,MON
MON,STASTBSTC,MON
MON,APT,DAB,MON
MON,APT,GFAGFBGFC,MON
MON,APT,STASTBSTC,MON
MON,ASL,DAB,MON
MON,ASL,OSE,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,OSE,MON
MON,DSA,DSS,MON
MON,DSA,NLNVAL,MON
MON,DSA,OSE,MON
MON,DSA,OSOVFB,MON
MON,DSA,TEQTRC,MON
MON,DSS,NLNVAL,MON
MON,DSS,OSE,MON
MON,DSS,OSOVFB,MON
MON,DSS,TEQTRC,MON
MON,GFAGFBGFC,KVB,MON
MON,GFAGFBGFC,MID,MON
MON,GFAGFBGFC,OSC,MON
MON,GFAGFBGFC,OSS,MON
MON,GFAGFBGFC,TENTRB,MON
MON,GFAGFBGFC,TRO,MON
MON,KVB,STASTBSTC,MON
MON,MID,STASTBSTC,MON
MON,NLNVAL,OSE,MON
MON,OSC,STASTBSTC,MON
MON,OSS,STASTBSTC,MON
MON,STASTBSTC,TRO,MON
MON,APT,DSS,KVB,MON
MON,APT,DSS,MID,MON
MON,APT,DSS,NLNVAL,MON
MON,APT,DSS,OSC,MON
MON,APT,DSS,OSE,MON
MON,APT,DSS,OSOVFB,MON
MON,APT,DSS,OSS,MON
MON,APT,DSS,TENTRB,MON
MON,APT,DSS,TEQTRC,MON
MON,APT,DSS,TRO,MON
MON,APT,KVB,NLNVAL,MON
MON,APT,KVB,OSE,MON
MON,APT,KVB,OSOVFB,MON
MON,APT,KVB,TENTRB,MON
MON,APT,KVB,TEQTRC,MON
MON,APT,MID,NLNVAL,MON
MON,APT,MID,OSE,MON
MON,APT,MID,OSOVFB,MON
MON,APT,MID,TENTRB,MON
MON,APT,MID,TEQTRC,MON
MON,APT,NLNVAL,OSC,MON
MON,APT,NLNVAL,OSE,MON
MON,APT,NLNVAL,OSOVFB,MON
MON,APT,NLNVAL,OSS,MON
MON,APT,NLNVAL,TENTRB,MON
MON,APT,NLNVAL,TEQTRC,MON
MON,APT,NLNVAL,TRO,MON
MON,APT,OSC,OSE,MON
MON,APT,OSC,OSOVFB,MON
MON,APT,OSE,OSOVFB,MON
MON,APT,OSE,OSS,MON
MON,APT,OSE,TENTRB,MON
MON,APT,OSE,TEQTRC,MON
MON,APT,OSOVFB,OSS,MON
MON,APT,OSOVFB,TENTRB,MON
MON,APT,OSOVFB,TEQTRC,MON
MON,ASL,DAB,KVB,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,OSC,MON
MON,ASL,DAB,OSS,MON
MON,ASL,DAB,TENTRB,MON
MON,ASL,DAB,TRO,MON
MON,ASL,DSA,DSS,MON
MON,ASL,DSA,KVB,MON
MON,ASL,DSA,MID,MON
MON,ASL,DSA,NLNVAL,MON
MON,ASL,DSA,OSC,MON
MON,ASL,DSA,OSE,MON
MON,ASL,DSA,OSOVFB,MON
MON,ASL,DSA,OSS,MON
MON,ASL,DSA,TENTRB,MON
MON,ASL,DSA,TEQTRC,MON
MON,ASL,DSA,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,NLNVAL,MON
MON,ASL,DSS,OSC,MON
MON,ASL,DSS,OSE,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,OSS,MON
MON,ASL,DSS,TENTRB,MON
MON,ASL,DSS,TEQTRC,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSC,MON
MON,ASL,KVB,OSE,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,OSS,MON
MON,ASL,KVB,TENTRB,MON
MON,ASL,KVB,TEQTRC,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSC,MON
MON,ASL,MID,OSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,OSS,MON
MON,ASL,MID,TENTRB,MON
MON,ASL,MID,TEQTRC,MON
MON,ASL,NLNVAL,OSC,MON
MON,ASL,NLNVAL,OSE,MON
MON,ASL,NLNVAL,OSOVFB,MON
MON,ASL,NLNVAL,OSS,MON
MON,ASL,NLNVAL,TENTRB,MON
MON,ASL,NLNVAL,TEQTRC,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSC,OSE,MON
MON,ASL,OSC,OSOVFB,MON
MON,ASL,OSC,OSS,MON
MON,ASL,OSC,TENTRB,MON
MON,ASL,OSC,TEQTRC,MON
MON,ASL,OSE,OSOVFB,MON
MON,ASL,OSE,OSS,MON
MON,ASL,OSE,TENTRB,MON
MON,ASL,OSE,TEQTRC,MON
MON,ASL,OSE,TRO,MON
MON,ASL,OSOVFB,OSS,MON
MON,ASL,OSOVFB,TENTRB,MON
MON,ASL,OSOVFB,TEQTRC,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,OSS,TENTRB,MON
MON,ASL,OSS,TEQTRC,MON
MON,ASL,TENTRB,TEQTRC,MON
MON,ASL,TENTRB,TRO,MON
MON,ASL,TEQTRC,TRO,MON
MON,DAB,DSA,KVB,MON
MON,DAB,DSA,MID,MON
MON,DAB,DSA,OSC,MON
MON,DAB,DSA,OSS,MON
MON,DAB,DSA,TRO,MON
MON,DAB,DSS,KVB,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,OSC,MON
MON,DAB,DSS,OSS,MON
MON,DAB,DSS,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,KVB,NLNVAL,MON
MON,DAB,KVB,OSC,MON
MON,DAB,KVB,OSE,MON
MON,DAB,KVB,OSOVFB,MON
MON,DAB,KVB,OSS,MON
MON,DAB,KVB,TENTRB,MON
MON,DAB,KVB,TEQTRC,MON
MON,DAB,MID,NLNVAL,MON
MON,DAB,MID,OSC,MON
MON,DAB,MID,OSE,MON
MON,DAB,MID,OSOVFB,MON
MON,DAB,MID,OSS,MON
MON,DAB,MID,TENTRB,MON
MON,DAB,MID,TEQTRC,MON
MON,DAB,MID,TRO,MON
MON,DAB,NLNVAL,OSC,MON
MON,DAB,NLNVAL,OSS,MON
MON,DAB,NLNVAL,TRO,MON
MON,DAB,OSC,OSOVFB,MON
MON,DAB,OSC,OSS,MON
MON,DAB,OSC,TENTRB,MON
MON,DAB,OSC,TEQTRC,MON
MON,DAB,OSE,TRO,MON
MON,DAB,OSOVFB,OSS,MON
MON,DAB,OSOVFB,TRO,MON
MON,DAB,OSS,TENTRB,MON
MON,DAB,OSS,TEQTRC,MON
MON,DAB,OSS,TRO,MON
MON,DAB,TENTRB,TEQTRC,MON
MON,DSA,DSS,KVB,MON
MON,DSA,DSS,MID,MON
MON,DSA,DSS,NLNVAL,MON
MON,DSA,DSS,OSC,MON
MON,DSA,DSS,OSOVFB,MON
MON,DSA,DSS,OSS,MON
MON,DSA,DSS,TENTRB,MON
MON,DSA,DSS,TEQTRC,MON
MON,DSA,DSS,TRO,MON
MON,DSA,KVB,MID,MON
MON,DSA,KVB,NLNVAL,MON
MON,DSA,KVB,OSC,MON
MON,DSA,KVB,OSE,MON
MON,DSA,KVB,OSOVFB,MON
MON,DSA,KVB,OSS,MON
MON,DSA,KVB,TENTRB,MON
MON,DSA,KVB,TEQTRC,MON
MON,DSA,MID,NLNVAL,MON
MON,DSA,MID,OSC,MON
MON,DSA,MID,OSE,MON
MON,DSA,MID,OSOVFB,MON
MON,DSA,MID,OSS,MON
MON,DSA,MID,TENTRB,MON
MON,DSA,MID,TEQTRC,MON
MON,DSA,NLNVAL,OSC,MON
MON,DSA,NLNVAL,OSOVFB,MON
MON,DSA,NLNVAL,OSS,MON
MON,DSA,NLNVAL,TENTRB,MON
MON,DSA,NLNVAL,TEQTRC,MON
MON,DSA,NLNVAL,TRO,MON
MON,DSA,OSC,OSE,MON
MON,DSA,OSC,OSOVFB,MON
MON,DSA,OSC,OSS,MON
MON,DSA,OSC,TENTRB,MON
MON,DSA,OSC,TEQTRC,MON
MON,DSA,OSC,TRO,MON
MON,DSA,OSE,OSS,MON
MON,DSA,OSE,TENTRB,MON
MON,DSA,OSE,TRO,MON
MON,DSA,OSOVFB,OSS,MON
MON,DSA,OSOVFB,TENTRB,MON
MON,DSA,OSOVFB,TEQTRC,MON
MON,DSA,OSOVFB,TRO,MON
MON,DSA,OSS,TENTRB,MON
MON,DSA,OSS,TEQTRC,MON
MON,DSA,OSS,TRO,MON
MON,DSA,TENTRB,TEQTRC,MON
MON,DSA,TENTRB,TRO,MON
MON,DSA,TEQTRC,TRO,MON
MON,DSS,KVB,MID,MON
MON,DSS,KVB,NLNVAL,MON
MON,DSS,KVB,OSC,MON
MON,DSS,KVB,OSE,MON
MON,DSS,KVB,OSOVFB,MON
MON,DSS,KVB,OSS,MON
MON,DSS,KVB,TENTRB,MON
MON,DSS,KVB,TEQTRC,MON
MON,DSS,MID,NLNVAL,MON
MON,DSS,MID,OSC,MON
MON,DSS,MID,OSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,MID,OSS,MON
MON,DSS,MID,TENTRB,MON
MON,DSS,MID,TEQTRC,MON
MON,DSS,NLNVAL,OSC,MON
MON,DSS,NLNVAL,OSOVFB,MON
MON,DSS,NLNVAL,OSS,MON
MON,DSS,NLNVAL,TENTRB,MON
MON,DSS,NLNVAL,TEQTRC,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,OSC,OSE,MON
MON,DSS,OSC,OSOVFB,MON
MON,DSS,OSC,OSS,MON
MON,DSS,OSC,TENTRB,MON
MON,DSS,OSC,TEQTRC,MON
MON,DSS,OSC,TRO,MON
MON,DSS,OSE,OSS,MON
MON,DSS,OSE,TENTRB,MON
MON,DSS,OSE,TRO,MON
MON,DSS,OSOVFB,OSS,MON
MON,DSS,OSOVFB,TENTRB,MON
MON,DSS,OSOVFB,TEQTRC,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,OSS,TENTRB,MON
MON,DSS,OSS,TEQTRC,MON
MON,DSS,OSS,TRO,MON
MON,DSS,TENTRB,TEQTRC,MON
MON,DSS,TENTRB,TRO,MON
MON,DSS,TEQTRC,TRO,MON
MON,KVB,MID,NLNVAL,MON
MON,KVB,MID,OSE,MON
MON,KVB,MID,OSOVFB,MON
MON,KVB,MID,TEQTRC,MON
MON,KVB,NLNVAL,OSE,MON
MON,KVB,NLNVAL,OSOVFB,MON
MON,KVB,NLNVAL,OSS,MON
MON,KVB,OSC,OSE,MON
MON,KVB,OSC,OSOVFB,MON
MON,KVB,OSE,OSOVFB,MON
MON,KVB,OSE,OSS,MON
MON,KVB,OSE,TENTRB,MON
MON,KVB,OSE,TEQTRC,MON
MON,KVB,OSOVFB,OSS,MON
MON,KVB,OSOVFB,TEQTRC,MON
MON,KVB,OSS,TENTRB,MON
MON,KVB,OSS,TEQTRC,MON
MON,MID,NLNVAL,OSC,MON
MON,MID,NLNVAL,OSE,MON
MON,MID,NLNVAL,OSOVFB,MON
MON,MID,NLNVAL,OSS,MON
MON,MID,NLNVAL,TENTRB,MON
MON,MID,NLNVAL,TEQTRC,MON
MON,MID,OSC,OSE,MON
MON,MID,OSC,OSOVFB,MON
MON,MID,OSC,TEQTRC,MON
MON,MID,OSE,OSOVFB,MON
MON,MID,OSE,OSS,MON
MON,MID,OSE,TENTRB,MON
MON,MID,OSE,TEQTRC,MON
MON,MID,OSE,TRO,MON
MON,MID,OSOVFB,OSS,MON
MON,MID,OSOVFB,TENTRB,MON
MON,MID,OSOVFB,TEQTRC,MON
MON,MID,OSS,TENTRB,MON
MON,MID,OSS,TEQTRC,MON
MON,MID,TENTRB,TEQTRC,MON
MON,NLNVAL,OSC,OSE,MON
MON,NLNVAL,OSC,OSOVFB,MON
MON,NLNVAL,OSC,OSS,MON
MON,NLNVAL,OSC,TENTRB,MON
MON,NLNVAL,OSC,TEQTRC,MON
MON,NLNVAL,OSE,OSS,MON
MON,NLNVAL,OSE,TENTRB,MON
MON,NLNVAL,OSE,TRO,MON
MON,NLNVAL,OSOVFB,OSS,MON
MON,NLNVAL,OSOVFB,TENTRB,MON
MON,NLNVAL,OSOVFB,TEQTRC,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,OSS,TENTRB,MON
MON,NLNVAL,OSS,TEQTRC,MON
MON,NLNVAL,OSS,TRO,MON
MON,NLNVAL,TENTRB,TEQTRC,MON
MON,NLNVAL,TEQTRC,TRO,MON
MON,OSC,OSE,OSOVFB,MON
MON,OSC,OSOVFB,OSS,MON
MON,OSE,OSOVFB,OSS,MON
MON,OSE,OSOVFB,TENTRB,MON
MON,OSE,OSS,TEQTRC,MON
MON,OSE,TENTRB,TEQTRC,MON
MON,OSOVFB,OSS,TENTRB,MON
MON,OSOVFB,OSS,TEQTRC,MON
MON,APT,ASL,DSA,KVB,MON
MON,APT,ASL,DSA,MID,MON
MON,APT,ASL,DSA,OSC,MON
MON,APT,ASL,DSA,OSS,MON
MON,APT,ASL,DSA,TRO,MON
MON,APT,ASL,DSS,KVB,MON
MON,APT,ASL,DSS,OSC,MON
MON,APT,ASL,DSS,TRO,MON
MON,APT,ASL,KVB,MID,MON
MON,APT,ASL,KVB,NLNVAL,MON
MON,APT,ASL,KVB,OSC,MON
MON,APT,ASL,KVB,OSOVFB,MON
MON,APT,ASL,KVB,OSS,MON
MON,APT,ASL,KVB,TENTRB,MON
MON,APT,ASL,KVB,TEQTRC,MON
MON,APT,ASL,KVB,TRO,MON
MON,APT,ASL,MID,NLNVAL,MON
MON,APT,ASL,MID,OSC,MON
MON,APT,ASL,MID,OSOVFB,MON
MON,APT,ASL,MID,OSS,MON
MON,APT,ASL,MID,TENTRB,MON
MON,APT,ASL,MID,TEQTRC,MON
MON,APT,ASL,MID,TRO,MON
MON,APT,ASL,NLNVAL,OSC,MON
MON,APT,ASL,NLNVAL,OSS,MON
MON,APT,ASL,NLNVAL,TRO,MON
MON,APT,ASL,OSC,OSOVFB,MON
MON,APT,ASL,OSC,OSS,MON
MON,APT,ASL,OSC,TENTRB,MON
MON,APT,ASL,OSC,TEQTRC,MON
MON,APT,ASL,OSC,TRO,MON
MON,APT,ASL,OSE,TRO,MON
MON,APT,ASL,OSOVFB,OSS,MON
MON,APT,ASL,OSOVFB,TRO,MON
MON,APT,ASL,OSS,TENTRB,MON
MON,APT,ASL,OSS,TEQTRC,MON
MON,APT,ASL,OSS,TRO,MON
MON,APT,ASL,TENTRB,TRO,MON
MON,APT,ASL,TEQTRC,TRO,MON
MON,APT,DAB,KVB,MID,MON
MON,APT,DAB,KVB,OSC,MON
MON,APT,DAB,KVB,OSS,MON
MON,APT,DAB,KVB,TRO,MON
MON,APT,DAB,MID,OSC,MON
MON,APT,DAB,MID,OSS,MON
MON,APT,DAB,MID,TRO,MON
MON,APT,DAB,OSC,TRO,MON
MON,APT,DAB,OSS,TRO,MON
MON,APT,DSA,DSS,KVB,MON
MON,APT,DSA,DSS,TRO,MON
MON,APT,DSA,KVB,MID,MON
MON,APT,DSA,KVB,NLNVAL,MON
MON,APT,DSA,KVB,OSC,MON
MON,APT,DSA,KVB,OSOVFB,MON
MON,APT,DSA,KVB,OSS,MON
MON,APT,DSA,KVB,TENTRB,MON
MON,APT,DSA,KVB,TEQTRC,MON
MON,APT,DSA,KVB,TRO,MON
MON,APT,DSA,MID,OSC,MON
MON,APT,DSA,MID,OSS,MON
MON,APT,DSA,MID,TENTRB,MON
MON,APT,DSA,MID,TEQTRC,MON
MON,APT,DSA,MID,TRO,MON
MON,APT,DSA,NLNVAL,TRO,MON
MON,APT,DSA,OSC,OSS,MON
MON,APT,DSA,OSC,TENTRB,MON
MON,APT,DSA,OSC,TRO,MON
MON,APT,DSA,OSOVFB,TRO,MON
MON,APT,DSA,OSS,TENTRB,MON
MON,APT,DSA,OSS,TRO,MON
MON,APT,DSA,TENTRB,TRO,MON
MON,APT,DSA,TEQTRC,TRO,MON
MON,APT,DSS,KVB,MID,MON
MON,APT,DSS,KVB,NLNVAL,MON
MON,APT,DSS,KVB,OSC,MON
MON,APT,DSS,KVB,OSOVFB,MON
MON,APT,DSS,KVB,OSS,MON
MON,APT,DSS,KVB,TENTRB,MON
MON,APT,DSS,KVB,TEQTRC,MON
MON,APT,DSS,KVB,TRO,MON
MON,APT,DSS,MID,OSC,MON
MON,APT,DSS,MID,TRO,MON
MON,APT,DSS,NLNVAL,TRO,MON
MON,APT,DSS,OSC,OSS,MON
MON,APT,DSS,OSC,TENTRB,MON
MON,APT,DSS,OSC,TRO,MON
MON,APT,DSS,OSOVFB,TRO,MON
MON,APT,DSS,OSS,TRO,MON
MON,APT,DSS,TENTRB,TRO,MON
MON,APT,DSS,TEQTRC,TRO,MON
MON,APT,KVB,MID,NLNVAL,MON
MON,APT,KVB,MID,OSC,MON
MON,APT,KVB,MID,OSE,MON
MON,APT,KVB,MID,OSOVFB,MON
MON,APT,KVB,MID,OSS,MON
MON,APT,KVB,MID,TENTRB,MON
MON,APT,KVB,MID,TEQTRC,MON
MON,APT,KVB,MID,TRO,MON
MON,APT,KVB,NLNVAL,OSC,MON
MON,APT,KVB,NLNVAL,OSOVFB,MON
MON,APT,KVB,NLNVAL,OSS,MON
MON,APT,KVB,NLNVAL,TENTRB,MON
MON,APT,KVB,NLNVAL,TEQTRC,MON
MON,APT,KVB,NLNVAL,TRO,MON
MON,APT,KVB,OSC,OSE,MON
MON,APT,KVB,OSC,OSOVFB,MON
MON,APT,KVB,OSC,OSS,MON
MON,APT,KVB,OSC,TENTRB,MON
MON,APT,KVB,OSC,TEQTRC,MON
MON,APT,KVB,OSC,TRO,MON
MON,APT,KVB,OSE,OSS,MON
MON,APT,KVB,OSE,TRO,MON
MON,APT,KVB,OSOVFB,OSS,MON
MON,APT,KVB,OSOVFB,TENTRB,MON
MON,APT,KVB,OSOVFB,TEQTRC,MON
MON,APT,KVB,OSOVFB,TRO,MON
MON,APT,KVB,OSS,TENTRB,MON
MON,APT,KVB,OSS,TEQTRC,MON
MON,APT,KVB,OSS,TRO,MON
MON,APT,KVB,TENTRB,TEQTRC,MON
MON,APT,KVB,TENTRB,TRO,MON
MON,APT,KVB,TEQTRC,TRO,MON
MON,APT,MID,NLNVAL,OSC,MON
MON,APT,MID,NLNVAL,OSOVFB,MON
MON,APT,MID,NLNVAL,OSS,MON
MON,APT,MID,NLNVAL,TENTRB,MON
MON,APT,MID,NLNVAL,TEQTRC,MON
MON,APT,MID,NLNVAL,TRO,MON
MON,APT,MID,OSC,OSE,MON
MON,APT,MID,OSC,OSOVFB,MON
MON,APT,MID,OSC,OSS,MON
MON,APT,MID,OSC,TENTRB,MON
MON,APT,MID,OSC,TEQTRC,MON
MON,APT,MID,OSC,TRO,MON
MON,APT,MID,OSE,OSS,MON
MON,APT,MID,OSE,TRO,MON
MON,APT,MID,OSOVFB,OSS,MON
MON,APT,MID,OSOVFB,TENTRB,MON
MON,APT,MID,OSOVFB,TEQTRC,MON
MON,APT,MID,OSOVFB,TRO,MON
MON,APT,MID,OSS,TENTRB,MON
MON,APT,MID,OSS,TEQTRC,MON
MON,APT,MID,OSS,TRO,MON
MON,APT,MID,TENTRB,TEQTRC,MON
MON,APT,MID,TENTRB,TRO,MON
MON,APT,MID,TEQTRC,TRO,MON
MON,APT,NLNVAL,OSC,OSS,MON
MON,APT,NLNVAL,OSC,TENTRB,MON
MON,APT,NLNVAL,OSC,TRO,MON
MON,APT,NLNVAL,OSOVFB,TRO,MON
MON,APT,NLNVAL,OSS,TENTRB,MON
MON,APT,NLNVAL,OSS,TRO,MON
MON,APT,NLNVAL,TENTRB,TRO,MON
MON,APT,NLNVAL,TEQTRC,TRO,MON
MON,APT,OSC,OSE,OSS,MON
MON,APT,OSC,OSE,TRO,MON
MON,APT,OSC,OSOVFB,OSS,MON
MON,APT,OSC,OSOVFB,TENTRB,MON
MON,APT,OSC,OSOVFB,TRO,MON
MON,APT,OSC,OSS,TENTRB,MON
MON,APT,OSC,OSS,TEQTRC,MON
MON,APT,OSC,OSS,TRO,MON
MON,APT,OSC,TENTRB,TEQTRC,MON
MON,APT,OSC,TENTRB,TRO,MON
MON,APT,OSC,TEQTRC,TRO,MON
MON,APT,OSE,OSS,TRO,MON
MON,APT,OSE,TENTRB,TRO,MON
MON,APT,OSOVFB,OSS,TENTRB,MON
MON,APT,OSOVFB,OSS,TRO,MON
MON,APT,OSOVFB,TENTRB,TRO,MON
MON,APT,OSOVFB,TEQTRC,TRO,MON
MON,APT,OSS,TENTRB,TEQTRC,MON
MON,APT,OSS,TENTRB,TRO,MON
MON,APT,OSS,TEQTRC,TRO,MON
MON,APT,TENTRB,TEQTRC,TRO,MON
MON,ASL,DAB,KVB,TRO,MON
MON,ASL,DAB,MID,TRO,MON
MON,ASL,DSA,KVB,MID,MON
MON,ASL,DSA,KVB,OSC,MON
MON,ASL,DSA,KVB,OSS,MON
MON,ASL,DSA,KVB,TRO,MON
MON,ASL,DSA,MID,OSC,MON
MON,ASL,DSA,MID,OSS,MON
MON,ASL,DSA,MID,TRO,MON
MON,ASL,DSA,OSC,OSS,MON
MON,ASL,DSA,OSC,TRO,MON
MON,ASL,DSA,OSS,TRO,MON
MON,ASL,DSA,TENTRB,TRO,MON
MON,ASL,DSS,KVB,MID,MON
MON,ASL,DSS,KVB,OSC,MON
MON,ASL,DSS,KVB,OSS,MON
MON,ASL,DSS,KVB,TRO,MON
MON,ASL,DSS,MID,OSC,MON
MON,ASL,DSS,MID,OSS,MON
MON,ASL,DSS,MID,TRO,MON
MON,ASL,DSS,OSC,OSS,MON
MON,ASL,DSS,OSC,TRO,MON
MON,ASL,DSS,OSS,TRO,MON
MON,ASL,DSS,TENTRB,TRO,MON
MON,ASL,KVB,MID,NLNVAL,MON
MON,ASL,KVB,MID,OSC,MON
MON,ASL,KVB,MID,OSE,MON
MON,ASL,KVB,MID,OSOVFB,MON
MON,ASL,KVB,MID,OSS,MON
MON,ASL,KVB,MID,TENTRB,MON
MON,ASL,KVB,MID,TEQTRC,MON
MON,ASL,KVB,MID,TRO,MON
MON,ASL,KVB,NLNVAL,OSC,MON
MON,ASL,KVB,NLNVAL,OSS,MON
MON,ASL,KVB,NLNVAL,TRO,MON
MON,ASL,KVB,OSC,OSOVFB,MON
MON,ASL,KVB,OSC,OSS,MON
MON,ASL,KVB,OSC,TENTRB,MON
MON,ASL,KVB,OSC,TEQTRC,MON
MON,ASL,KVB,OSC,TRO,MON
MON,ASL,KVB,OSE,TRO,MON
MON,ASL,KVB,OSOVFB,OSS,MON
MON,ASL,KVB,OSOVFB,TRO,MON
MON,ASL,KVB,OSS,TENTRB,MON
MON,ASL,KVB,OSS,TEQTRC,MON
MON,ASL,KVB,OSS,TRO,MON
MON,ASL,KVB,TENTRB,TEQTRC,MON
MON,ASL,KVB,TENTRB,TRO,MON
MON,ASL,KVB,TEQTRC,TRO,MON
MON,ASL,MID,NLNVAL,OSC,MON
MON,ASL,MID,NLNVAL,OSS,MON
MON,ASL,MID,NLNVAL,TRO,MON
MON,ASL,MID,OSC,OSOVFB,MON
MON,ASL,MID,OSC,OSS,MON
MON,ASL,MID,OSC,TENTRB,MON
MON,ASL,MID,OSC,TEQTRC,MON
MON,ASL,MID,OSC,TRO,MON
MON,ASL,MID,OSE,TRO,MON
MON,ASL,MID,OSOVFB,OSS,MON
MON,ASL,MID,OSOVFB,TRO,MON
MON,ASL,MID,OSS,TENTRB,MON
MON,ASL,MID,OSS,TEQTRC,MON
MON,ASL,MID,OSS,TRO,MON
MON,ASL,MID,TENTRB,TEQTRC,MON
MON,ASL,MID,TENTRB,TRO,MON
MON,ASL,MID,TEQTRC,TRO,MON
MON,ASL,NLNVAL,OSC,OSS,MON
MON,ASL,NLNVAL,OSC,TRO,MON
MON,ASL,NLNVAL,OSS,TRO,MON
MON,ASL,NLNVAL,TENTRB,TRO,MON
MON,ASL,OSC,OSE,TRO,MON
MON,ASL,OSC,OSOVFB,OSS,MON
MON,ASL,OSC,OSOVFB,TRO,MON
MON,ASL,OSC,OSS,TENTRB,MON
MON,ASL,OSC,OSS,TEQTRC,MON
MON,ASL,OSC,OSS,TRO,MON
MON,ASL,OSC,TENTRB,TRO,MON
MON,ASL,OSC,TEQTRC,TRO,MON
MON,ASL,OSE,OSS,TRO,MON
MON,ASL,OSOVFB,OSS,TRO,MON
MON,ASL,OSOVFB,TENTRB,TRO,MON
MON,ASL,OSS,TENTRB,TRO,MON
MON,ASL,OSS,TEQTRC,TRO,MON
MON,ASL,TENTRB,TEQTRC,TRO,MON
MON,DAB,KVB,MID,OSC,MON
MON,DAB,KVB,MID,OSS,MON
MON,DAB,KVB,MID,TRO,MON
MON,DAB,KVB,OSC,OSS,MON
MON,DAB,KVB,OSC,TRO,MON
MON,DAB,KVB,OSS,TRO,MON
MON,DAB,KVB,TENTRB,TRO,MON
MON,DAB,MID,OSC,OSS,MON
MON,DAB,MID,OSC,TRO,MON
MON,DAB,MID,OSS,TRO,MON
MON,DAB,MID,TENTRB,TRO,MON
MON,DAB,OSC,OSS,TRO,MON
MON,DSA,DSS,KVB,MID,MON
MON,DSA,DSS,KVB,OSC,MON
MON,DSA,DSS,KVB,OSS,MON
MON,DSA,DSS,KVB,TRO,MON
MON,DSA,DSS,MID,OSC,MON
MON,DSA,DSS,MID,OSS,MON
MON,DSA,DSS,MID,TRO,MON
MON,DSA,DSS,OSC,TRO,MON
MON,DSA,DSS,OSS,TRO,MON
MON,DSA,KVB,MID,NLNVAL,MON
MON,DSA,KVB,MID,OSC,MON
MON,DSA,KVB,MID,OSOVFB,MON
MON,DSA,KVB,MID,OSS,MON
