MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSA,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVB,MON
MON,MID,MON
MON,NLNVAL,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,STASTBSTC,MON
MON,TENTRB,MON
MON,TEQTRC,MON
MON,TRO,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,NLNVAL,MON
MON,ASL,DSS,OSOVFB,MON
MON,ASL,DSS,TENTRB,MON
MON,ASL,DSS,TEQTRC,MON
MON,ASL,DSS,TRO,MON
MON,ASL,KVB,MID,MON
MON,ASL,KVB,NLNVAL,MON
MON,ASL,KVB,OSCOSE,MON
MON,ASL,KVB,OSOVFB,MON
MON,ASL,KVB,TENTRB,MON
MON,ASL,KVB,TEQTRC,MON
MON,ASL,KVB,TRO,MON
MON,ASL,MID,NLNVAL,MON
MON,ASL,MID,OSCOSE,MON
MON,ASL,MID,OSOVFB,MON
MON,ASL,MID,TENTRB,MON
MON,ASL,MID,TEQTRC,MON
MON,ASL,MID,TRO,MON
MON,ASL,NLNVAL,OSOVFB,MON
MON,ASL,NLNVAL,TENTRB,MON
MON,ASL,NLNVAL,TEQTRC,MON
MON,ASL,NLNVAL,TRO,MON
MON,ASL,OSCOSE,TRO,MON
MON,ASL,OSOVFB,TENTRB,MON
MON,ASL,OSOVFB,TEQTRC,MON
MON,ASL,OSOVFB,TRO,MON
MON,ASL,TENTRB,TEQTRC,MON
MON,ASL,TENTRB,TRO,MON
MON,ASL,TEQTRC,TRO,MON
MON,DAB,DSA,KVB,MON
MON,DAB,DSA,MID,MON
MON,DAB,DSA,TRO,MON
MON,DAB,DSS,KVB,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,TRO,MON
MON,DAB,KVB,MID,MON
MON,DAB,KVB,NLNVAL,MON
MON,DAB,KVB,OSOVFB,MON
MON,DAB,KVB,TENTRB,MON
MON,DAB,KVB,TEQTRC,MON
MON,DAB,KVB,TRO,MON
MON,DAB,MID,NLNVAL,MON
MON,DAB,MID,OSOVFB,MON
MON,DAB,MID,TENTRB,MON
MON,DAB,MID,TEQTRC,MON
MON,DAB,MID,TRO,MON
MON,DAB,NLNVAL,TRO,MON
MON,DAB,OSOVFB,TRO,MON
MON,DAB,TENTRB,TEQTRC,MON
MON,DAB,TENTRB,TRO,MON
MON,DAB,TEQTRC,TRO,MON
MON,DSA,DSS,KVB,MON
MON,DSA,DSS,MID,MON
MON,DSA,DSS,NLNVAL,MON
MON,DSA,DSS,OSOVFB,MON
MON,DSA,DSS,TENTRB,MON
MON,DSA,DSS,TEQTRC,MON
MON,DSA,DSS,TRO,MON
MON,DSA,KVB,MID,MON
MON,DSA,KVB,NLNVAL,MON
MON,DSA,KVB,OSCOSE,MON
MON,DSA,KVB,OSOVFB,MON
MON,DSA,KVB,TENTRB,MON
MON,DSA,KVB,TEQTRC,MON
MON,DSA,KVB,TRO,MON
MON,DSA,MID,NLNVAL,MON
MON,DSA,MID,OSCOSE,MON
MON,DSA,MID,OSOVFB,MON
MON,DSA,MID,TENTRB,MON
MON,DSA,MID,TEQTRC,MON
MON,DSA,MID,TRO,MON
MON,DSA,NLNVAL,OSOVFB,MON
MON,DSA,NLNVAL,TENTRB,MON
MON,DSA,NLNVAL,TEQTRC,MON
MON,DSA,NLNVAL,TRO,MON
MON,DSA,OSCOSE,TRO,MON
MON,DSA,OSOVFB,TENTRB,MON
MON,DSA,OSOVFB,TEQTRC,MON
MON,DSA,OSOVFB,TRO,MON
MON,DSA,TENTRB,TEQTRC,MON
MON,DSA,TENTRB,TRO,MON
MON,DSA,TEQTRC,TRO,MON
MON,DSS,KVB,MID,MON
MON,DSS,KVB,NLNVAL,MON
MON,DSS,KVB,OSCOSE,MON
MON,DSS,KVB,OSOVFB,MON
MON,DSS,KVB,TENTRB,MON
MON,DSS,KVB,TEQTRC,MON
MON,DSS,KVB,TRO,MON
MON,DSS,MID,NLNVAL,MON
MON,DSS,MID,OSCOSE,MON
MON,DSS,MID,OSOVFB,MON
MON,DSS,MID,TENTRB,MON
MON,DSS,MID,TEQTRC,MON
MON,DSS,MID,TRO,MON
MON,DSS,NLNVAL,OSOVFB,MON
MON,DSS,NLNVAL,TENTRB,MON
MON,DSS,NLNVAL,TEQTRC,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,OSCOSE,TRO,MON
MON,DSS,OSOVFB,TENTRB,MON
MON,DSS,OSOVFB,TEQTRC,MON
MON,DSS,OSOVFB,TRO,MON
MON,DSS,TENTRB,TEQTRC,MON
MON,DSS,TENTRB,TRO,MON
MON,DSS,TEQTRC,TRO,MON
MON,KVB,MID,NLNVAL,MON
MON,KVB,MID,OSCOSE,MON
MON,KVB,MID,OSOVFB,MON
MON,KVB,MID,TENTRB,MON
MON,KVB,MID,TEQTRC,MON
MON,KVB,MID,TRO,MON
MON,KVB,NLNVAL,OSCOSE,MON
MON,KVB,NLNVAL,OSOVFB,MON
MON,KVB,NLNVAL,TENTRB,MON
MON,KVB,NLNVAL,TEQTRC,MON
MON,KVB,NLNVAL,TRO,MON
MON,KVB,OSCOSE,OSOVFB,MON
MON,KVB,OSCOSE,TENTRB,MON
MON,KVB,OSCOSE,TEQTRC,MON
MON,KVB,OSCOSE,TRO,MON
MON,KVB,OSOVFB,TENTRB,MON
MON,KVB,OSOVFB,TEQTRC,MON
MON,KVB,OSOVFB,TRO,MON
MON,KVB,TENTRB,TEQTRC,MON
MON,KVB,TENTRB,TRO,MON
MON,KVB,TEQTRC,TRO,MON
MON,MID,NLNVAL,OSCOSE,MON
MON,MID,NLNVAL,OSOVFB,MON
MON,MID,NLNVAL,TENTRB,MON
MON,MID,NLNVAL,TEQTRC,MON
MON,MID,NLNVAL,TRO,MON
MON,MID,OSCOSE,OSOVFB,MON
MON,MID,OSCOSE,TENTRB,MON
MON,MID,OSCOSE,TEQTRC,MON
MON,MID,OSCOSE,TRO,MON
MON,MID,OSOVFB,TENTRB,MON
MON,MID,OSOVFB,TEQTRC,MON
MON,MID,OSOVFB,TRO,MON
MON,MID,TENTRB,TEQTRC,MON
MON,MID,TENTRB,TRO,MON
MON,MID,TEQTRC,TRO,MON
MON,NLNVAL,OSCOSE,TRO,MON
MON,NLNVAL,OSOVFB,TENTRB,MON
MON,NLNVAL,OSOVFB,TEQTRC,MON
MON,NLNVAL,OSOVFB,TRO,MON
MON,NLNVAL,TENTRB,TEQTRC,MON
MON,NLNVAL,TENTRB,TRO,MON
MON,NLNVAL,TEQTRC,TRO,MON
MON,OSCOSE,OSOVFB,TRO,MON
MON,OSCOSE,TENTRB,TRO,MON
MON,OSCOSE,TEQTRC,TRO,MON
MON,OSOVFB,TENTRB,TEQTRC,MON
MON,OSOVFB,TENTRB,TRO,MON
MON,OSOVFB,TEQTRC,TRO,MON
MON,TENTRB,TEQTRC,TRO,MON
MON,APTOSS,ASL,KVB,MID,MON
MON,APTOSS,ASL,KVB,TRO,MON
MON,APTOSS,ASL,MID,TRO,MON
MON,APTOSS,ASL,TENTRB,TRO,MON
MON,APTOSS,DSA,KVB,MID,MON
MON,APTOSS,DSA,KVB,TRO,MON
MON,APTOSS,DSA,MID,TRO,MON
MON,APTOSS,DSS,KVB,MID,MON
MON,APTOSS,DSS,KVB,TRO,MON
MON,APTOSS,DSS,MID,TRO,MON
MON,APTOSS,KVB,MID,NLNVAL,MON
MON,APTOSS,KVB,MID,OSOVFB,MON
MON,APTOSS,KVB,MID,TENTRB,MON
MON,APTOSS,KVB,MID,TEQTRC,MON
MON,APTOSS,KVB,MID,TRO,MON
MON,APTOSS,KVB,NLNVAL,TRO,MON
MON,APTOSS,KVB,OSOVFB,TRO,MON
MON,APTOSS,KVB,TENTRB,TRO,MON
MON,APTOSS,KVB,TEQTRC,TRO,MON
MON,APTOSS,MID,NLNVAL,TRO,MON
MON,APTOSS,MID,OSOVFB,TRO,MON
MON,APTOSS,MID,TENTRB,TRO,MON
MON,APTOSS,MID,TEQTRC,TRO,MON
MON,ASL,DAB,KVB,TRO,MON
MON,ASL,DAB,MID,TRO,MON
MON,ASL,DSA,KVB,MID,MON
MON,ASL,DSA,KVB,TRO,MON
MON,ASL,DSA,MID,TRO,MON
MON,ASL,DSA,TENTRB,TRO,MON
MON,ASL,DSS,KVB,MID,MON
MON,ASL,DSS,KVB,TRO,MON
MON,ASL,DSS,MID,TRO,MON
MON,ASL,DSS,TENTRB,TRO,MON
MON,ASL,KVB,MID,NLNVAL,MON
MON,ASL,KVB,MID,OSOVFB,MON
MON,ASL,KVB,MID,TENTRB,MON
MON,ASL,KVB,MID,TEQTRC,MON
MON,ASL,KVB,MID,TRO,MON
MON,ASL,KVB,NLNVAL,TRO,MON
MON,ASL,KVB,OSOVFB,TRO,MON
MON,ASL,KVB,TENTRB,TEQTRC,MON
MON,ASL,KVB,TENTRB,TRO,MON
MON,ASL,KVB,TEQTRC,TRO,MON
MON,ASL,MID,NLNVAL,TRO,MON
MON,ASL,MID,OSOVFB,TRO,MON
MON,ASL,MID,TENTRB,TEQTRC,MON
MON,ASL,MID,TENTRB,TRO,MON
MON,ASL,MID,TEQTRC,TRO,MON
MON,ASL,NLNVAL,TENTRB,TRO,MON
MON,ASL,OSOVFB,TENTRB,TRO,MON
MON,ASL,TENTRB,TEQTRC,TRO,MON
MON,DAB,KVB,MID,TRO,MON
MON,DAB,KVB,TENTRB,TRO,MON
MON,DAB,MID,TENTRB,TRO,MON
MON,DSA,DSS,KVB,MID,MON
MON,DSA,DSS,KVB,TRO,MON
MON,DSA,DSS,MID,TRO,MON
MON,DSA,KVB,MID,NLNVAL,MON
MON,DSA,KVB,MID,OSOVFB,MON
MON,DSA,KVB,MID,TENTRB,MON
MON,DSA,KVB,MID,TEQTRC,MON
MON,DSA,KVB,MID,TRO,MON
MON,DSA,KVB,NLNVAL,TRO,MON
MON,DSA,KVB,OSOVFB,TRO,MON
MON,DSA,KVB,TENTRB,TRO,MON
MON,DSA,KVB,TEQTRC,TRO,MON
MON,DSA,MID,NLNVAL,TRO,MON
MON,DSA,MID,OSOVFB,TRO,MON
MON,DSA,MID,TENTRB,TRO,MON
MON,DSA,MID,TEQTRC,TRO,MON
MON,DSA,TENTRB,TEQTRC,TRO,MON
MON,DSS,KVB,MID,NLNVAL,MON
MON,DSS,KVB,MID,OSOVFB,MON
MON,DSS,KVB,MID,TENTRB,MON
MON,DSS,KVB,MID,TEQTRC,MON
MON,DSS,KVB,MID,TRO,MON
MON,DSS,KVB,NLNVAL,TRO,MON
MON,DSS,KVB,OSOVFB,TRO,MON
MON,DSS,KVB,TENTRB,TRO,MON
MON,DSS,KVB,TEQTRC,TRO,MON
MON,DSS,MID,NLNVAL,TRO,MON
MON,DSS,MID,OSOVFB,TRO,MON
MON,DSS,MID,TENTRB,TRO,MON
MON,DSS,MID,TEQTRC,TRO,MON
MON,DSS,TENTRB,TEQTRC,TRO,MON
MON,KVB,MID,NLNVAL,OSOVFB,MON
MON,KVB,MID,NLNVAL,TENTRB,MON
MON,KVB,MID,NLNVAL,TEQTRC,MON
MON,KVB,MID,NLNVAL,TRO,MON
MON,KVB,MID,OSCOSE,TRO,MON
MON,KVB,MID,OSOVFB,TENTRB,MON
MON,KVB,MID,OSOVFB,TEQTRC,MON
MON,KVB,MID,OSOVFB,TRO,MON
MON,KVB,MID,TENTRB,TEQTRC,MON
MON,KVB,MID,TENTRB,TRO,MON
MON,KVB,MID,TEQTRC,TRO,MON
MON,KVB,NLNVAL,OSOVFB,TRO,MON
MON,KVB,NLNVAL,TENTRB,TRO,MON
MON,KVB,NLNVAL,TEQTRC,TRO,MON
MON,KVB,OSOVFB,TENTRB,TRO,MON
MON,KVB,OSOVFB,TEQTRC,TRO,MON
MON,KVB,TENTRB,TEQTRC,TRO,MON
MON,MID,NLNVAL,OSOVFB,TRO,MON
MON,MID,NLNVAL,TENTRB,TRO,MON
MON,MID,NLNVAL,TEQTRC,TRO,MON
MON,MID,OSOVFB,TENTRB,TRO,MON
MON,MID,OSOVFB,TEQTRC,TRO,MON
MON,MID,TENTRB,TEQTRC,TRO,MON
MON,NLNVAL,TENTRB,TEQTRC,TRO,MON
MON,OSOVFB,TENTRB,TEQTRC,TRO,MON
MON,ASL,KVB,MID,TENTRB,TRO,MON
MON,KVB,MID,TENTRB,TEQTRC,TRO,MON
